MAZE 80 160
 48  41  48  42
 50  13  51  13
 25  41  25  42
 68 155  68 156
 56 135  57 135
  5  57   6  57
 27   3  27   4
  2 157   3 157
 37 146  38 146
 56  88  57  88
 76  84  76  85
 55 146  56 146
 60  55  61  55
 25  96  26  96
  9  97  10  97
 73  39  74  39
 75  13  75  14
 69 146  69 147
 21 138  22 138
 42  30  43  30
 58  10  58  11
 41  99  41 100
 56 156  57 156
 41  25  42  25
 48  49  49  49
 47  84  48  84
  7 111   7 112
 13   6  13   7
 49 142  50 142
 14  86  14  87
 48 122  49 122
 28  71  29  71
 54   2  55   2
 62   4  63   4
 20  35  20  36
 57 148  57 149
 70  89  71  89
  3  64   3  65
 64  90  64  91
 26 152  26 153
 24  40  24  41
 28  64  28  65
 49 102  49 103
 38  35  39  35
  5  29   5  30
 47 136  47 137
 30 131  31 131
 72  37  72  38
 78 110  78 111
 34  65  35  65
 60  79  61  79
 59  43  59  44
 28 153  29 153
 56  22  57  22
 19  69  20  69
 61  63  61  64
  0 120   0 121
 32  50  33  50
 70 128  70 129
 67  82  67  83
 12   6  12   7
 23 135  23 136
 42  24  43  24
 70 103  70 104
 72  62  73  62
 50 126  50 127
 56 130  57 130
 72   3  72   4
 21  71  22  71
 63  14  63  15
  4 103   5 103
 40  95  41  95
 33  50  34  50
 33 104  34 104
 33 100  34 100
  8 145   9 145
 59  78  60  78
 69   6  70   6
 69  45  70  45
 72 130  72 131
 23  95  23  96
  9  68  10  68
 73  71  74  71
 61 113  61 114
 69 122  69 123
 64   3  64   4
 45 138  46 138
 46  87  46  88
 42 114  42 115
 27 149  27 150
 49  16  50  16
 23 119  24 119
 59  61  60  61
 30 117  31 117
 33  64  33  65
 51 128  51 129
 52  42  52  43
  5 132   6 132
 10 156  11 156
 75  57  76  57
 54 122  55 122
 49 118  49 119
 14 114  15 114
 51 147  51 148
 25  75  25  76
 62 146  62 147
 20  52  20  53
  2  96   3  96
 19  14  19  15
 30  78  30  79
 36 131  37 131
 13  84  14  84
 24  27  25  27
 59  59  59  60
 71 102  72 102
 78  70  78  71
 48  38  48  39
 35  32  35  33
 31 113  32 113
 14 143  14 144
 39  22  40  22
 79  36  79  37
 38 139  38 140
 66 154  67 154
 51  41  51  42
 55  31  56  31
  7  90   8  90
 18  63  19  63
 23 113  23 114
 68  92  69  92
 56  87  56  88
  5  83   5  84
 70  87  71  87
 48  95  48  96
 31   4  32   4
 20   2  21   2
 77  63  78  63
 75 112  76 112
 39  24  40  24
 72  47  73  47
 32  27  33  27
 59  29  60  29
 52  87  53  87
 30   4  31   4
 54  29  55  29
 34  99  35  99
 60  53  60  54
 74  39  75  39
  7 139   8 139
 54 115  54 116
 61 133  61 134
 64  36  65  36
 46  45  47  45
 42  10  43  10
 24 103  24 104
 27  31  27  32
 64 101  64 102
 54  34  54  35
 43  89  43  90
 55 104  55 105
 64  94  64  95
 11 134  11 135
 51  46  51  47
 15  73  15  74
 15  18  15  19
  6  65   6  66
 54  32  55  32
 48  46  49  46
 48  69  48  70
 10  23  10  24
 53  71  53  72
 33 113  33 114
 43  63  44  63
  6  87   7  87
 37  34  38  34
  9  64   9  65
 24   6  24   7
 43  69  44  69
 32  45  32  46
 57  87  58  87
 54 107  54 108
 69 107  69 108
 59 123  60 123
 18  66  18  67
 22 115  23 115
 59 147  60 147
 55  34  56  34
  2  31   2  32
 12 138  13 138
 46 149  46 150
 72 110  73 110
 21  35  21  36
 51  57  51  58
 30  52  30  53
 31  42  32  42
  6  43   7  43
 26  66  27  66
 64  93  65  93
 41  66  42  66
 29   3  30   3
 29 116  30 116
 14 119  15 119
 20 105  21 105
 71 120  72 120
 62 121  62 122
 76   6  77   6
 29  95  29  96
 54  33  55  33
 26  64  26  65
  0 129   0 130
 64 121  64 122
  1 112   2 112
 73  75  74  75
 55  64  55  65
 38  34  38  35
 72   5  73   5
 45  57  46  57
 41   2  42   2
  4 122   5 122
 77  71  77  72
 32  80  33  80
 30  11  30  12
 33  38  34  38
 43 126  43 127
 18  79  18  80
 53  69  54  69
 64  14  65  14
 39  53  40  53
 23 140  24 140
  8 128   9 128
  9  92   9  93
 65  36  66  36
 50  31  50  32
 16  61  17  61
 19   7  19   8
 28 125  29 125
 38  25  38  26
 33  92  33  93
 34  31  35  31
 63 144  64 144
 45  53  46  53
 49  18  50  18
 53 137  54 137
 43  48  43  49
  6 113   7 113
 60  36  60  37
 43  93  44  93
  9 135  10 135
 71   9  71  10
 18 106  18 107
  8  97   9  97
 11  26  11  27
 61 133  62 133
 72  43  72  44
 52  93  52  94
 60   1  60   2
 46  90  47  90
 70 131  71 131
 23 147  24 147
 14  95  14  96
 38 126  39 126
 45  85  46  85
 19  20  19  21
 56 144  56 145
 30  20  31  20
 62  49  62  50
 49 114  50 114
 50  45  50  46
  3 155   3 156
 12  81  13  81
 58 146  58 147
 55 111  55 112
 58 145  58 146
 35  27  36  27
 70  76  70  77
 70 139  71 139
  5   4   5   5
 19 154  19 155
 49 119  49 120
 29 126  30 126
 40 139  40 140
 15 118  16 118
 29  51  29  52
 73  15  74  15
 64  25  65  25
 53 107  53 108
 11 122  12 122
 45  92  46  92
 24 121  25 121
 66  90  66  91
 12 119  13 119
 18  51  18  52
 13  30  14  30
 27  47  28  47
 60  72  61  72
 72 127  73 127
  0 116   1 116
 63  51  64  51
 16 119  16 120
 41  82  42  82
 17  97  17  98
 26 104  27 104
 30 148  30 149
 15  80  16  80
 42 138  42 139
 51 106  52 106
 45  14  45  15
 49  86  49  87
 17  15  17  16
 68 145  68 146
 26 156  26 157
 57  21  57  22
 76  59  77  59
 35  31  36  31
 13 131  14 131
 29 149  30 149
 70  55  71  55
 70  84  70  85
  2 120   2 121
 63  78  63  79
  2  33   3  33
 24 141  24 142
 66 126  67 126
 53 103  54 103
 50  99  50 100
 21  67  21  68
 59  90  59  91
 34   4  35   4
 24  61  24  62
 48 155  49 155
 46 141  47 141
 28  65  28  66
 58 154  59 154
 15 148  16 148
 25   2  26   2
 41  14  41  15
 68 134  69 134
  6  31   7  31
 71 155  71 156
 30  17  30  18
 74  69  74  70
 16   2  16   3
 25  29  26  29
 43 115  44 115
 47  23  47  24
 33 122  34 122
 43  23  43  24
 19 148  20 148
 28 111  29 111
 58  87  58  88
 27  76  28  76
  2 101   3 101
 18 131  19 131
  6   2   7   2
 55  58  55  59
 72  46  72  47
  6  70   6  71
 47  46  48  46
  1 155   2 155
 18   7  18   8
 55 156  55 157
  1  85   2  85
 16 141  17 141
 29  22  30  22
  7  56   8  56
  9  55   9  56
 35  16  36  16
