MAZE 152 76
 75  17  75  18
116  68 116  69
125  43 126  43
 83  31  84  31
 32  60  33  60
 84  19  84  20
 16   6  17   6
 12   9  13   9
 59  32  59  33
 48   8  49   8
146  53 146  54
 20  49  21  49
107  54 108  54
 40  26  40  27
138  20 138  21
 32  34  32  35
 71  39  72  39
149   0 149   1
123  23 124  23
 20  12  20  13
 96  27  96  28
108  31 108  32
 97  70  97  71
  1  50   2  50
130  33 131  33
 11  32  11  33
144   9 145   9
 52  35  53  35
139  34 139  35
 80  16  81  16
146  64 146  65
107  64 107  65
 49  49  50  49
 15  71  15  72
104   9 104  10
 77  11  78  11
141  15 142  15
114   4 115   4
 80  63  81  63
 41  23  41  24
103  48 104  48
 64   5  65   5
134  43 134  44
143  36 143  37
 16  31  17  31
145  63 145  64
106  40 106  41
130   5 131   5
113  50 114  50
 85  29  86  29
133  68 134  68
 39  61  40  61
 19  48  20  48
 70   7  71   7
126   8 127   8
  4  40   5  40
129   7 130   7
 83  15  83  16
 89  13  89  14
124  57 124  58
 94  56  95  56
 10  64  11  64
  6  21   6  22
 70   8  70   9
  5  39   5  40
114   6 114   7
 18  65  18  66
127  52 127  53
  1  33   2  33
 81   2  82   2
122   6 123   6
110  51 111  51
 80  49  80  50
143  12 144  12
 50  11  50  12
150  38 151  38
 19  58  19  59
107  53 107  54
  3  13   4  13
 24  53  25  53
112   7 112   8
106  35 106  36
 71  54  71  55
 13  49  14  49
 48   9  48  10
106  65 106  66
120  55 120  56
 66  28  67  28
 82   3  83   3
 72  57  73  57
116  14 116  15
 14  48  14  49
 99   6  99   7
 57   2  58   2
106  17 107  17
108  44 108  45
119  66 120  66
142  37 143  37
 43   0  43   1
  6  22   6  23
 88  55  89  55
 92  30  92  31
 38  39  38  40
 66  47  67  47
135  52 135  53
 24  56  24  57
 47  35  48  35
142  45 143  45
 21   1  21   2
 98  64  99  64
 57  54  57  55
109  54 109  55
142  73 142  74
 33  52  34  52
 21  71  22  71
 98  59  99  59
 19  43  20  43
145  19 146  19
  5  49   6  49
101   9 102   9
 39  39  39  40
125  44 126  44
126  65 127  65
 40  18  40  19
 24  72  24  73
 55  36  55  37
 33  42  34  42
 99  63 100  63
 15   8  16   8
 44  72  45  72
127  54 128  54
115  15 116  15
134  45 134  46
 28  62  28  63
119  49 120  49
131  14 132  14
133  48 134  48
 34  73  34  74
 27  39  27  40
136  56 137  56
 32  49  33  49
 25  28  26  28
147   7 147   8
 57  57  58  57
 34  42  34  43
  1  62   2  62
146  75 147  75
 31  70  31  71
 21  15  22  15
102  47 102  48
110  50 110  51
 84  31  85  31
101   2 101   3
 74  58  74  59
 50  59  50  60
 69  27  70  27
100  74 101  74
110  71 110  72
139  62 139  63
147  58 147  59
 87  13  87  14
 42  65  42  66
 74  58  75  58
125  29 125  30
130  63 131  63
137   2 137   3
 54  74  54  75
 74  70  74  71
101  31 101  32
 54  34  54  35
148  28 148  29
 19  49  19  50
138  67 138  68
 10  55  11  55
101   6 101   7
102  24 102  25
149  32 150  32
 98  37  99  37
 47  57  48  57
 81   5  82   5
 48  39  48  40
111  70 111  71
 39  53  40  53
 89  11  90  11
 26  13  26  14
 38  58  38  59
104  20 105  20
 65  71  65  72
107  51 107  52
123  34 124  34
 84  31  84  32
120   9 121   9
149  42 150  42
107  30 107  31
 14  61  15  61
 40  63  41  63
 78   4  78   5
 16  70  17  70
 41  46  42  46
  3  46   3  47
  1  66   1  67
138  27 139  27
 95  25  95  26
125  27 125  28
  4  59   4  60
 71   7  71   8
 50  17  51  17
115  19 115  20
 36  40  36  41
 47  46  47  47
150  56 150  57
 91  71  92  71
 62  13  63  13
127  72 128  72
 78  22  79  22
 33  25  33  26
127  23 128  23
 52  33  53  33
146  66 146  67
 29  58  29  59
 28  71  28  72
 53  19  53  20
146  69 147  69
 65  37  65  38
 53  74  53  75
124  26 124  27
 65   0  65   1
116  55 116  56
144  53 145  53
141  62 142  62
 47  59  48  59
 19  42  19  43
111  51 111  52
 85  11  85  12
  3  17   4  17
120  64 121  64
141  14 141  15
 61  62  61  63
137  52 138  52
 33  58  34  58
122  69 123  69
 63  56  63  57
 15  47  15  48
127  49 127  50
 28   7  29   7
 33  13  34  13
 11  17  11  18
 34  29  35  29
132  45 132  46
 27  58  27  59
149  50 149  51
132  66 133  66
136   5 136   6
  8  24   9  24
121  66 121  67
141  34 141  35
 66  69  67  69
137  20 137  21
 20  21  21  21
 59  29  60  29
146  52 147  52
124  61 124  62
  5  10   6  10
119  26 120  26
137  46 137  47
 74  32  74  33
 55  41  55  42
 81  65  81  66
 48  15  48  16
109  70 110  70
144  36 145  36
148   2 149   2
129  72 129  73
 35  30  35  31
117  31 118  31
 13  21  14  21
 81  14  82  14
 69  64  70  64
108  71 108  72
 40  18  41  18
