MAZE 248 124
189   4 189   5
193  71 193  72
115   4 115   5
186  50 186  51
214  11 215  11
 26 107  27 107
238  96 239  96
141  12 142  12
153 118 154 118
168   5 169   5
 16  68  16  69
112  88 112  89
 98  58  98  59
192 108 193 108
 75  64  75  65
240  12 241  12
 86  36  86  37
 19 107  20 107
115   5 116   5
 90  40  90  41
203 109 204 109
 52  50  53  50
  2  37   2  38
231  31 232  31
 53  68  54  68
 98 110  98 111
193  73 194  73
162  54 163  54
244  73 245  73
151  56 151  57
220  26 220  27
 24  60  24  61
 28  88  29  88
 77  97  77  98
156  62 156  63
218  30 218  31
247 104 247 105
107 100 108 100
206  59 207  59
 55  87  55  88
 43  17  43  18
202  29 203  29
160  99 161  99
222  38 222  39
243  32 244  32
  0  87   1  87
230 115 231 115
237  25 237  26
  5  93   6  93
 20  82  20  83
222  37 222  38
 70  15  70  16
 54  40  54  41
110  36 111  36
231  72 232  72
207  88 207  89
 29 104  30 104
201  88 201  89
 34 110  34 111
 67  30  68  30
 58  94  58  95
 75  13  76  13
  6  36   7  36
 11 100  11 101
 76  49  76  50
 23  35  23  36
206  67 207  67
 92  72  93  72
115  55 116  55
178  98 178  99
124  28 125  28
198  88 199  88
191  13 191  14
 17   3  17   4
 74 108  74 109
239  70 240  70
125  65 126  65
 61  58  61  59
131 102 132 102
 56 105  56 106
 62  60  62  61
 14  57  14  58
 21  35  22  35
129  66 130  66
190  98 190  99
144  14 145  14
 17  20  18  20
 51 114  52 114
 52  84  52  85
154 122 154 123
160 100 160 101
178  43 179  43
 15  77  15  78
141  64 142  64
 57   8  58   8
245  49 246  49
  2  85   3  85
  4  88   4  89
 58  15  58  16
 59  27  60  27
 76  40  77  40
223  33 224  33
112 108 113 108
231  80 231  81
 41  41  41  42
204 116 204 117
185  28 186  28
180 103 180 104
222  71 222  72
237  94 237  95
190  42 191  42
240  73 241  73
139 117 140 117
 80  87  80  88
 21 102  21 103
 24  58  24  59
213  71 213  72
130  66 130  67
145  15 146  15
 49  62  50  62
216  29 216  30
 68  38  69  38
 34  26  35  26
225  30 225  31
 66  44  66  45
 16  88  17  88
177  56 178  56
145  14 146  14
144  57 144  58
 66  98  67  98
 47  44  48  44
 27  82  28  82
132  13 133  13
 48  79  49  79
  0  72   0  73
 17  27  17  28
 13  73  14  73
 51  20  52  20
108  56 108  57
150 117 150 118
221  70 221  71
 10  72  11  72
 44 120  44 121
162  36 163  36
135  98 135  99
 31  62  32  62
101 106 101 107
 87   1  87   2
121 109 122 109
124  16 124  17
 22 104  22 105
 24 113  25 113
232  71 233  71
208  57 208  58
198 113 199 113
170 104 170 105
 22  70  22  71
195 110 195 111
 35   2  35   3
218  52 218  53
195  25 195  26
 96  64  97  64
142  55 143  55
182  14 182  15
104 106 105 106
240  22 240  23
 35  79  35  80
104  94 104  95
 90 104  91 104
 32 109  32 110
219  79 220  79
244  21 245  21
112  48 112  49
185 103 186 103
192  29 193  29
245 113 246 113
130  58 130  59
174  21 175  21
246  98 247  98
245  32 246  32
194  92 194  93
122  29 123  29
136 105 137 105
 15  59  16  59
239  66 240  66
 86  25  86  26
 51  31  52  31
224  54 225  54
145   4 145   5
236  10 236  11
 31  14  31  15
 61 104  61 105
 57  82  57  83
 86  71  87  71
171  60 171  61
 50 101  50 102
187  30 188  30
153 104 154 104
183  54 183  55
120 122 120 123
183  71 184  71
  5 113   6 113
 45  71  46  71
 48  20  48  21
 54  61  54  62
176  85 177  85
109  57 110  57
217   4 218   4
 15   9  16   9
162  98 162  99
184  90 185  90
211  26 211  27
174   5 175   5
189  41 189  42
236 112 236 113
241  12 242  12
 96  64  96  65
234  20 235  20
110  16 111  16
 85 108  86 108
207  72 208  72
 80  43  80  44
  9 113   9 114
 97  57  97  58
 55  22  56  22
 78  77  79  77
238  59 238  60
 34  98  34  99
222  55 223  55
141 112 141 113
219 118 219 119
  0  42   1  42
138 109 139 109
 94  59  94  60
210 119 210 120
111  54 111  55
193 108 193 109
195 112 195 113
 86  27  86  28
 17  58  17  59
119  53 119  54
 76  56  77  56
224  14 224  15
 92  31  92  32
 48 112  49 112
203 112 204 112
110   2 110   3
  9 108  10 108
 96 101  96 102
 80  23  81  23
101  60 101  61
145  24 145  25
 82  32  83  32
 98 112  99 112
224  16 225  16
188  27 188  28
246 114 246 115
 14  90  14  91
 38 116  38 117
 74  77  75  77
  0  52   0  53
154 121 155 121
206  25 206  26
203  28 203  29
183  51 183  52
239  52 240  52
 44  72  44  73
 32 119  32 120
 33  48  34  48
241  21 241  22
 45  18  45  19
 56  21  57  21
112  55 113  55
187  99 188  99
195 111 196 111
240  62 240  63
 88  72  88  73
221 115 221 116
105 113 105 114
179 105 179 106
 57  44  58  44
209  20 209  21
149 106 149 107
192  80 192  81
139  98 140  98
 60 117  60 118
 12 105  12 106
 56  45  57  45
 51 123  52 123
 65 102  66 102
 37  67  38  67
 29   2  30   2
 59  49  60  49
135  94 135  95
235  51 235  52
121  38 122  38
 50 104  51 104
126  67 127  67
217  54 217  55
 95  35  95  36
139 121 140 121
143  91 143  92
109 120 109 121
119  80 119  81
 55  46  56  46
223  16 224  16
163   5 164   5
 50  89  50  90
162  36 162  37
192  99 192 100
 95  59  95  60
236 104 237 104
218  16 219  16
223  30 224  30
  8  13   8  14
121 117 122 117
142  34 142  35
217  91 217  92
 52  89  53  89
 70 112  70 113
 84  45  85  45
162 108 162 109
  8 114   8 115
216  71 217  71
 51  89  51  90
 25  48  26  48
  7  35   7  36
127  60 127  61
  3  16   4  16
203  24 204  24
 99  13  99  14
136 120 137 120
 72  20  72  21
152  50 152  51
194  20 195  20
164  15 164  16
210  30 211  30
223 106 223 107
 27  31  28  31
215  81 216  81
 58  37  59  37
  6  79   6  80
130 109 130 110
