MAZE 376 188
149  32 150  32
275 111 276 111
312 112 313 112
 31  65  31  66
 72  92  72  93
359  69 359  70
148 135 149 135
275 103 276 103
 89  67  90  67
270  99 271  99
298  27 298  28
201  40 202  40
115 141 115 142
332  61 333  61
344 132 345 132
144 184 145 184
 38 143  38 144
273 102 274 102
235  11 235  12
 31 134  31 135
 82 122  83 122
  7 123   7 124
225  61 226  61
184  72 184  73
374  68 375  68
258   8 258   9
358  57 358  58
229 105 230 105
 39  30  40  30
 92  11  92  12
 93 111  93 112
163 128 163 129
257  36 258  36
278 149 279 149
324   6 324   7
288   2 289   2
344 128 344 129
231 178 231 179
319  17 320  17
 89  86  90  86
 58  42  59  42
319 167 320 167
121  63 122  63
230 165 231 165
167 161 167 162
 62 141  63 141
238 125 239 125
 85  78  85  79
 50 146  50 147
288 138 289 138
140 138 140 139
274  61 275  61
184 164 184 165
330 180 331 180
264  16 264  17
 70 115  71 115
274  73 275  73
270  99 270 100
 18  14  19  14
130 121 131 121
  0  43   1  43
325  12 326  12
180 103 180 104
124  63 125  63
 56 169  56 170
 99  76 100  76
205  51 205  52
330 126 331 126
 55  74  56  74
  0 112   0 113
338  48 339  48
 32 178  33 178
294  88 294  89
 35  20  36  20
334 153 335 153
176  37 176  38
 16  93  17  93
122  64 123  64
188 170 188 171
172  81 173  81
208  48 208  49
196 154 197 154
178  14 178  15
294  64 294  65
121 113 121 114
 22 102  22 103
  6 181   7 181
153 110 153 111
198 132 199 132
 30  54  30  55
373  32 373  33
166 164 167 164
137  34 138  34
153  99 153 100
227 156 228 156
297 175 298 175
247  71 248  71
 27  37  27  38
157  12 157  13
345  65 346  65
324 141 324 142
 29  36  30  36
 51  96  52  96
373  50 373  51
273 165 274 165
194  75 194  76
134 139 135 139
248  13 249  13
130  98 131  98
265 132 265 133
220  63 220  64
175 168 176 168
204  29 204  30
 81  77  82  77
 68 131  68 132
133  26 134  26
199  79 200  79
322 183 323 183
318  60 318  61
315  28 315  29
248 140 248 141
348  55 349  55
141  70 142  70
121  12 121  13
 21 103  21 104
133 107 134 107
137 128 138 128
203 150 204 150
203 182 203 183
279  98 279  99
 88 151  89 151
218 111 218 112
283  90 284  90
337 114 338 114
269 123 270 123
271 124 272 124
 94  53  94  54
165 177 165 178
145 129 146 129
277 159 278 159
 89  84  90  84
 62  65  63  65
 71 115  72 115
 81 101  81 102
 71  98  71  99
157 172 158 172
106  24 106  25
 58 152  58 153
361  43 362  43
225   6 225   7
111   0 112   0
 69 174  70 174
 98  90  98  91
 91  73  91  74
243 124 243 125
 23 103  23 104
332 160 332 161
 99  63 100  63
173  84 174  84
 19  98  20  98
 25 142  26 142
 33 166  33 167
 55  81  55  82
219 139 220 139
228 174 228 175
 40  30  41  30
309 102 309 103
162  48 163  48
186  93 186  94
153 170 153 171
147  74 147  75
374 175 375 175
182  77 183  77
261  90 262  90
257 180 257 181
250 178 251 178
160 178 161 178
214 151 214 152
  7 164   8 164
239  46 239  47
266  62 266  63
358 133 358 134
300 117 301 117
271  79 272  79
169 183 170 183
  1  48   1  49
 89   9  90   9
345  28 346  28
  1  27   1  28
 43  54  43  55
103 136 104 136
199 127 200 127
255 172 255 173
151 178 151 179
278  13 279  13
225 112 225 113
354  24 354  25
134 103 135 103
212 115 213 115
 74 125  75 125
212 164 212 165
215  36 216  36
260 139 261 139
 40  80  40  81
227 148 227 149
179 109 180 109
 15 144  16 144
288  93 289  93
 60  48  61  48
139   3 139   4
245  35 246  35
 32 114  32 115
235 125 236 125
314 115 314 116
352 179 352 180
246  70 247  70
207  43 207  44
 14  67  15  67
 55  25  55  26
353  10 353  11
 92  29  92  30
192 117 192 118
 84  34  85  34
349 154 350 154
273  27 273  28
233 180 233 181
270  40 271  40
370  53 370  54
260 148 261 148
 23  99  24  99
217 182 218 182
186 182 187 182
 90 181  91 181
186  76 187  76
 61  38  62  38
325  71 326  71
229 107 230 107
  0 154   0 155
353  33 354  33
249   1 250   1
231 157 231 158
 25  33  25  34
277  51 277  52
232 139 233 139
319  93 319  94
242 107 243 107
306 123 307 123
 67  97  67  98
217 171 218 171
299  75 299  76
 91 176  92 176
186  97 186  98
313 115 313 116
159 164 159 165
 28  37  28  38
231  29 231  30
209  19 209  20
309  51 309  52
  5  14   6  14
 13  91  13  92
212  76 213  76
257  31 257  32
320 137 320 138
185  18 185  19
337  62 338  62
 74  19  74  20
196 127 197 127
 22  25  23  25
358   6 359   6
 61  49  62  49
121 113 122 113
324  70 324  71
276 153 276 154
 84  16  85  16
281 122 282 122
 75 127  75 128
192 137 193 137
 10 111  11 111
254 133 255 133
 59  76  59  77
218 168 218 169
153 115 153 116
 81  33  81  34
  7 126   7 127
173 122 173 123
161 158 161 159
188 140 188 141
158 107 158 108
336 162 336 163
209 107 209 108
113  84 114  84
159 125 159 126
 85 144  86 144
 50  60  50  61
109  84 110  84
176  67 176  68
 86 134  87 134
112  73 113  73
 81  83  81  84
335 150 335 151
 76 162  76 163
 49  99  49 100
 14 108  14 109
218 112 219 112
287 184 288 184
 19 185  20 185
331 112 331 113
360 110 360 111
 42  90  42  91
306  64 307  64
  8 166   8 167
303 112 304 112
279  24 279  25
171 104 171 105
356  21 357  21
304  84 304  85
132 127 132 128
305 114 306 114
229  80 230  80
111   9 111  10
194 179 195 179
325  10 325  11
240  21 241  21
 93  96  93  97
  5 157   5 158
 23 160  24 160
202  85 203  85
 61  63  62  63
273  66 273  67
153  44 154  44
106  33 106  34
286 141 286 142
220  98 220  99
112  84 113  84
151  49 152  49
373 109 373 110
197 125 198 125
319  68 319  69
255 101 255 102
309 182 309 183
365  31 365  32
193 180 194 180
126  49 127  49
243 106 244 106
 42 144  43 144
316 105 316 106
 92 162  93 162
232  63 232  64
247  14 248  14
185 114 186 114
 37 123  38 123
284 126 284 127
160  15 161  15
295 184 295 185
127  54 128  54
  5  80   6  80
220  46 221  46
242 175 243 175
 42 139  42 140
320  10 321  10
 52 107  53 107
318  42 319  42
316  60 316  61
164 128 164 129
 39  64  40  64
190 183 191 183
347  16 348  16
305 107 306 107
 15  73  16  73
 51   3  52   3
303  41 304  41
264 137 264 138
261  92 262  92
231  73 231  74
292  25 293  25
 75  20  76  20
162  99 162 100
157 107 157 108
370  42 371  42
108  17 109  17
108  11 109  11
 82 137  83 137
292  77 293  77
268  68 269  68
105  18 105  19
157  91 157  92
360 118 360 119
372  20 373  20
193  57 194  57
175  87 175  88
 22  89  23  89
295  65 295  66
328 140 328 141
 85  31  86  31
 10 138  10 139
137   1 137   2
345 152 346 152
300   8 301   8
177 160 178 160
 28 174  28 175
 44  12  45  12
319 142 320 142
168  24 168  25
140  69 140  70
218 186 218 187
206 168 206 169
 94  54  95  54
124 154 124 155
267  13 267  14
 65  96  65  97
120 159 121 159
114 177 115 177
366  95 367  95
102  82 102  83
294  27 294  28
292  43 292  44
242  76 243  76
191 131 192 131
158 102 158 103
 36  88  37  88
374 154 375 154
186  72 187  72
367 185 368 185
281 172 282 172
107  43 108  43
217  40 217  41
 89 125  89 126
336 141 337 141
234  56 235  56
 20  80  20  81
335 164 336 164
348  70 349  70
153  40 153  41
374  81 375  81
 81  50  82  50
149 133 150 133
368 182 368 183
 11  41  12  41
134 109 134 110
  7  88   7  89
344 178 344 179
332 118 333 118
361  45 362  45
371  15 372  15
 16  45  16  46
134 102 135 102
358  24 358  25
345 170 345 171
204 172 204 173
308 146 309 146
 19  91  20  91
222  46 223  46
 98  68  98  69
224 156 225 156
234 129 234 130
342 148 342 149
253  71 254  71
152 115 153 115
120 112 121 112
192  25 192  26
308 154 309 154
175 182 176 182
150   7 150   8
145  96 145  97
 71  88  72  88
352  37 352  38
 15  36  15  37
331 179 331 180
107  75 107  76
131  40 131  41
  5 171   5 172
247 130 248 130
340 130 340 131
370 131 370 132
356  85 356  86
109 120 109 121
167 166 167 167
287  39 288  39
163   3 163   4
147 152 148 152
 51 146  52 146
333 131 334 131
303  38 304  38
235  76 235  77
271  21 271  22
207 172 207 173
333   9 333  10
105  57 106  57
101  68 101  69
111 143 112 143
358  55 358  56
278  31 279  31
106  91 106  92
139 136 139 137
269  56 269  57
 87 116  87 117
193  32 193  33
318  93 319  93
111  47 112  47
282 129 282 130
354  76 355  76
175  43 175  44
  3  42   3  43
352  10 353  10
264  27 265  27
275   5 276   5
124  97 124  98
279  68 279  69
182 143 183 143
217  57 218  57
227  45 228  45
124 172 125 172
125  21 125  22
 80  13  80  14
211  76 211  77
237 155 237 156
 95  46  95  47
370  87 370  88
336 172 336 173
300 119 301 119
254 102 254 103
 79  92  79  93
263  83 263  84
236  79 236  80
253 167 254 167
  1 154   2 154
162  89 163  89
342 185 343 185
355 176 355 177
254 115 254 116
187  96 188  96
215  43 216  43
 95 108  95 109
  4 140   4 141
253 113 253 114
343  49 344  49
202  69 202  70
 82  23  82  24
330 123 331 123
130  47 131  47
227  74 228  74
227 107 227 108
