MAZE 392 196
133  33 134  33
 74 110  75 110
202  33 203  33
291 186 292 186
 22 183  23 183
113  71 114  71
239 124 240 124
245  56 246  56
376  88 376  89
305  36 306  36
171 146 171 147
325 126 326 126
212 186 212 187
115 173 116 173
264 105 264 106
369 154 370 154
 23 184  24 184
 11 171  11 172
270  25 271  25
330  94 330  95
287 104 287 105
248 174 249 174
160  12 161  12
 65  43  65  44
 68 188  69 188
 33 125  34 125
378 157 378 158
104 100 104 101
120 165 121 165
379 143 380 143
169 192 170 192
247  84 247  85
231   5 231   6
389  49 390  49
299 140 300 140
268 145 269 145
150  72 151  72
391   3 391   4
211 144 211 145
208 150 208 151
193  18 194  18
208  66 208  67
351  68 352  68
363 114 364 114
352 136 353 136
315 183 315 184
293 115 294 115
131 137 131 138
  8 115   9 115
  9 128   9 129
273  62 274  62
306  96 306  97
206  34 207  34
248  84 248  85
210 147 210 148
 27  66  27  67
111 148 111 149
201 153 201 154
193 148 194 148
 29 157  30 157
184  38 184  39
197 102 197 103
116   5 117   5
102  75 102  76
351 166 351 167
244 130 245 130
204  89 204  90
319  20 319  21
 73  16  74  16
171 107 171 108
249  25 249  26
 49 187  50 187
 79  91  79  92
145  90 146  90
 29  76  30  76
378  52 378  53
113   1 114   1
126 111 127 111
273 151 274 151
105  74 105  75
141  41 141  42
 48  20  49  20
136  85 137  85
277 106 278 106
217 140 217 141
245 134 245 135
302  21 303  21
 38  21  38  22
 35  67  35  68
136 146 137 146
310 193 310 194
 97 163  98 163
380  44 380  45
273 192 273 193
201 124 201 125
358   1 359   1
 65 131  66 131
294  95 294  96
280 128 281 128
362 116 363 116
175 180 175 181
261 194 261 195
198 148 199 148
242  78 243  78
141  33 141  34
132  91 133  91
 38 107  38 108
 49 185  50 185
266  85 267  85
193 155 193 156
371  83 371  84
145  73 146  73
162 109 162 110
379 136 380 136
388  24 388  25
102 145 102 146
175 183 176 183
 39 148  40 148
319 179 320 179
 49  33  49  34
209  29 210  29
378 145 379 145
355  62 356  62
295 157 296 157
327 112 328 112
277 159 278 159
122  16 122  17
123 157 124 157
113  23 114  23
115  93 116  93
239  34 240  34
340 100 341 100
 25  11  25  12
359 100 359 101
 64 166  64 167
192 178 192 179
308 127 308 128
136  27 137  27
234 185 235 185
138 176 138 177
 77 188  77 189
368   7 369   7
211  91 212  91
152  30 152  31
156 174 156 175
 70 124  71 124
 74  80  75  80
 78  41  78  42
136  40 137  40
109  40 109  41
309  98 309  99
169  47 170  47
354 111 355 111
204  41 204  42
367  91 368  91
198 121 199 121
347  11 347  12
 82  18  83  18
254 126 255 126
 23   5  23   6
249  18 250  18
126 175 127 175
192 147 192 148
 38 107  39 107
 42 154  43 154
126 148 126 149
 66 131  67 131
205  49 206  49
275  88 275  89
373 178 373 179
 62  34  63  34
 91  41  92  41
296 101 297 101
106 158 107 158
273 145 274 145
 76  13  76  14
255 182 256 182
356  29 356  30
184 189 184 190
  8  21   8  22
340  67 341  67
152  39 152  40
212 174 213 174
 74 122  74 123
306 169 306 170
 72  38  73  38
245  30 246  30
 86 178  86 179
319 100 319 101
327  37 327  38
357 173 358 173
342 104 343 104
261  23 261  24
209 117 210 117
264  81 265  81
163  83 163  84
244  45 244  46
189 106 189 107
 72 177  73 177
 79 179  79 180
389  49 389  50
232  94 233  94
234  25 235  25
343  17 344  17
329 138 329 139
 25 171  25 172
 84 120  84 121
139 164 140 164
 43 187  44 187
318  63 318  64
 52 161  52 162
113  49 113  50
 48 105  48 106
 87 180  88 180
101 165 101 166
 84 128  85 128
381  67 382  67
 61 122  62 122
307  73 307  74
 72   9  73   9
162 142 162 143
256 109 257 109
 42 160  43 160
108  62 109  62
 61  82  62  82
196 121 197 121
260  98 260  99
230  55 230  56
 81 147  82 147
107 113 107 114
359  94 359  95
125 187 125 188
 42  45  42  46
376  96 376  97
125  68 125  69
 66  31  67  31
  3 181   3 182
 82 167  83 167
387  45 388  45
324  52 324  53
 79 136  79 137
 37  17  38  17
128 158 128 159
228 181 229 181
175  42 176  42
162  26 162  27
141  50 142  50
249 193 249 194
  1 191   1 192
268  29 269  29
309  34 309  35
 91  78  91  79
331  24 332  24
 28  60  29  60
231  93 232  93
151  67 151  68
257  24 258  24
136 106 137 106
170  34 170  35
297 189 297 190
313 139 313 140
258  24 259  24
177  41 178  41
388 143 388 144
303 187 303 188
 97  93  98  93
305 153 306 153
203  66 203  67
 84 190  84 191
  2 148   3 148
147  34 147  35
 23  58  23  59
186  37 187  37
 49  35  50  35
189 125 189 126
154  91 155  91
 34  40  35  40
262  60 263  60
253  46 253  47
311 120 312 120
231 133 231 134
240  62 240  63
 75  40  76  40
 18 138  19 138
134 189 135 189
 60  88  61  88
333 143 333 144
 54  78  55  78
292 139 292 140
351  78 351  79
122  15 122  16
260  97 260  98
296  27 297  27
168  86 168  87
 92 123  92 124
368 156 368 157
185  34 185  35
272  11 273  11
 14 104  14 105
226  50 227  50
 94 189  95 189
 78 114  78 115
337  87 337  88
230 165 231 165
 37  37  38  37
 68  74  69  74
 17  80  18  80
108 128 109 128
275 175 276 175
 57  65  58  65
 82 128  82 129
307 193 307 194
384  70 384  71
 13 100  13 101
128  58 129  58
331  64 331  65
134  33 134  34
274 173 275 173
292  69 292  70
 73  23  73  24
185 116 185 117
252 193 252 194
281 173 281 174
 31  89  31  90
261  39 261  40
268 159 269 159
315 100 315 101
162  86 162  87
194  34 195  34
127 159 128 159
162  58 163  58
391 185 391 186
142 125 143 125
244  46 245  46
140 132 140 133
379  77 379  78
119  80 120  80
127 112 128 112
 40  29  40  30
309 169 309 170
 61  11  62  11
 13  99  14  99
290 179 290 180
212  17 212  18
324 147 324 148
349 109 349 110
 96 188  97 188
200 148 201 148
 58  50  58  51
201 132 201 133
167  32 168  32
199 133 199 134
 46  27  46  28
198  19 199  19
130 131 130 132
384 132 384 133
381  72 381  73
198  76 198  77
265 133 266 133
144 141 145 141
277 160 277 161
193 190 194 190
 41  36  41  37
298 182 299 182
285 178 285 179
349 107 350 107
169 135 169 136
221  82 222  82
 80 109  81 109
117 132 118 132
162  28 162  29
272  47 272  48
240 134 241 134
295 110 295 111
296 108 297 108
202 161 202 162
198  20 198  21
104 170 104 171
214 170 215 170
362  50 363  50
 24 166  25 166
203 145 203 146
173  25 174  25
 24  57  25  57
177 118 178 118
198 101 199 101
 97  26  97  27
 83  95  83  96
228  67 229  67
347  41 348  41
214 179 214 180
284  42 285  42
323 189 323 190
241  97 241  98
  7   3   7   4
197 121 197 122
 29 150  30 150
308 116 309 116
327  63 327  64
 34  27  35  27
  4  25   4  26
117 101 118 101
102 100 103 100
157 133 157 134
 77  56  78  56
100  34 100  35
  8  43   9  43
376 112 377 112
105 192 105 193
264  40 265  40
358 131 359 131
174 189 175 189
177  82 177  83
 59 105  60 105
380 134 381 134
 69  87  70  87
369  61 370  61
150 172 151 172
 69  87  69  88
379 120 380 120
203 165 204 165
 98  71  98  72
238 112 239 112
 52 179  53 179
253 147 254 147
253 129 254 129
198 100 198 101
349 133 350 133
153 102 154 102
382 177 383 177
371 131 372 131
300 121 300 122
 79  19  80  19
302 115 302 116
277 193 277 194
269  94 269  95
194  65 194  66
153  43 154  43
164  95 164  96
245  74 246  74
159  27 159  28
342  57 342  58
148  57 149  57
253  59 254  59
264  31 265  31
 11 120  12 120
 39 185  40 185
228 189 229 189
356  85 356  86
 17  59  17  60
 80  75  80  76
203  13 203  14
113 103 113 104
271 184 272 184
273 106 274 106
 79 114  79 115
157  52 158  52
143  52 144  52
 14  18  15  18
340  76 341  76
326   7 326   8
163  29 164  29
172 125 172 126
237 135 238 135
152  59 152  60
 15  43  16  43
353   4 353   5
167  52 167  53
 81 114  81 115
357 113 358 113
 29  23  29  24
 75  69  75  70
354 194 354 195
149  27 150  27
327   1 328   1
251 177 251 178
337  29 338  29
360  13 360  14
245 127 246 127
370 133 370 134
119 156 120 156
356 170 356 171
349 100 350 100
114  95 115  95
  1 116   1 117
247 193 247 194
199 139 199 140
351  20 351  21
 81 138  81 139
312 111 312 112
311  51 312  51
269  78 269  79
 30  93  31  93
122  74 123  74
360  87 361  87
256 186 257 186
 80 162  80 163
288  17 289  17
 17  53  18  53
  2  14   2  15
 48  72  48  73
 20 189  21 189
365  96 365  97
 33 103  34 103
252  37 253  37
 50 117  50 118
 78 161  79 161
123  28 124  28
388  99 389  99
183 182 183 183
108  26 108  27
377  55 377  56
299 114 299 115
284 145 284 146
104  96 105  96
 49  59  49  60
112 174 112 175
 86  13  86  14
 38  71  38  72
 85  27  85  28
220  46 220  47
226  50 226  51
 18 159  19 159
136  91 137  91
200 135 201 135
 75  67  75  68
272 152 272 153
 16  98  16  99
 25  59  25  60
229  47 230  47
374 101 374 102
340 156 340 157
202  44 202  45
264 187 265 187
120 186 121 186
 43 184  43 185
138 160 139 160
 62  47  63  47
171  72 171  73
230 172 231 172
173  40 174  40
103  63 103  64
294 192 295 192
354  85 354  86
176   1 177   1
 64  60  65  60
122  54 123  54
 25 189  25 190
203  56 203  57
265  12 265  13
149 127 150 127
307 192 308 192
205   8 206   8
 49 188  50 188
310 194 311 194
263  10 264  10
 39  30  39  31
284  66 285  66
289 106 289 107
 50  97  50  98
293  83 294  83
 80  68  80  69
192  22 193  22
381 151 381 152
 86 119  87 119
221 108 222 108
191  73 191  74
345 164 346 164
 86 140  87 140
220  59 220  60
198 121 198 122
379 151 379 152
136  60 136  61
256 165 257 165
228  74 228  75
200  52 200  53
 94  34  94  35
 30 147  31 147
 26   0  26   1
145  40 146  40
126   6 127   6
