MAZE 160 320
143 197 144 197
114 284 114 285
 23 212  23 213
120 307 120 308
 98 219  98 220
 61 144  62 144
 88 136  89 136
132  33 133  33
127 290 127 291
  9 117   9 118
 83 118  83 119
130  94 130  95
 76  24  76  25
 40 315  40 316
  8 266   9 266
120 308 120 309
100  60 101  60
116 273 116 274
 97 177  98 177
 60   2  60   3
141 129 142 129
117 173 117 174
117 172 118 172
 12 112  12 113
 87 153  88 153
  6 170   6 171
150  55 151  55
 46  32  47  32
 39 187  39 188
111 293 112 293
113  30 113  31
155  70 155  71
 22  48  22  49
  9 241   9 242
 84 145  85 145
 82  54  83  54
 53  82  53  83
 37 280  37 281
147 234 148 234
 53  62  54  62
  0 200   1 200
142 144 143 144
123 170 123 171
112 172 113 172
 32  26  32  27
 27   8  28   8
 73 149  73 150
119 302 120 302
 93 119  94 119
116 200 117 200
 96 135  97 135
 52  18  52  19
 34  86  34  87
 85  77  85  78
  8 262   9 262
151  54 152  54
105 192 105 193
122 132 123 132
110  56 110  57
 94  53  95  53
 89 212  89 213
104 288 105 288
132  55 132  56
 60  15  60  16
109 315 109 316
 27 212  28 212
141 227 142 227
 11  90  11  91
136 129 136 130
113 139 113 140
151 235 152 235
109 174 109 175
111   9 111  10
 90 108  91 108
123   2 123   3
112 269 112 270
 91  52  92  52
 31  76  32  76
 65  48  65  49
150  12 150  13
 67 145  67 146
 35  70  35  71
 87  95  87  96
134 108 134 109
124 164 124 165
 36 285  37 285
 71 167  72 167
131   5 132   5
 31  27  32  27
124 262 124 263
138 112 138 113
 27 285  27 286
 87 181  87 182
 41 316  42 316
121 110 122 110
 23 241  23 242
114  68 114  69
 15 278  15 279
 38  77  39  77
 41 146  42 146
 84  37  84  38
 73  67  73  68
156 314 157 314
  9 291  10 291
107 155 108 155
 60  52  61  52
135  80 136  80
 72   7  73   7
100 175 100 176
 53 123  53 124
 18  28  18  29
 84 138  84 139
 36  81  37  81
 51  29  52  29
 60 195  61 195
137 318 137 319
 63  98  63  99
 22 269  22 270
120 304 121 304
  7  91   8  91
 58 175  59 175
127 176 127 177
100   7 101   7
 35  76  36  76
139   6 139   7
 56 240  56 241
103 111 103 112
 59  78  59  79
 20  80  20  81
109 170 110 170
 67 136  67 137
 27  53  28  53
 57  88  58  88
146  67 146  68
129  69 129  70
151 252 152 252
134 285 135 285
 49  53  50  53
157 298 157 299
102 188 103 188
125 138 126 138
 86 274  86 275
 48  65  48  66
 51 205  52 205
 83  75  84  75
 82  39  83  39
148 141 148 142
 26  27  27  27
129 256 130 256
 84 304  84 305
 40  76  41  76
 94 134  95 134
  3 313   3 314
110 184 111 184
 33 129  34 129
124 144 124 145
 53 139  54 139
 43  47  44  47
 99 217 100 217
 15  61  15  62
 18  70  18  71
 89  52  90  52
 19 210  19 211
 17 266  17 267
 65  50  66  50
 45 291  45 292
157 134 157 135
127 123 127 124
 70 146  70 147
