MAZE 344 172
290  93 291  93
160  64 160  65
281 101 282 101
152  81 152  82
338  35 338  36
 80  42  81  42
 26  48  27  48
325 148 326 148
 86  37  87  37
303  75 303  76
  2  46   2  47
180 123 180 124
 58  54  58  55
277   9 278   9
 30 122  31 122
 87  24  88  24
175 115 175 116
283 149 284 149
 71 147  71 148
 60  37  61  37
286  63 287  63
299  32 299  33
 15 112  16 112
273  56 274  56
330  53 330  54
235  89 236  89
 45  53  46  53
  2  88   3  88
280 151 280 152
336  68 337  68
284 150 284 151
 73  77  74  77
 42 106  43 106
338 128 339 128
213 125 214 125
 47  13  47  14
221 132 221 133
 43  49  44  49
104  82 104  83
231  88 232  88
 22 104  22 105
255 116 255 117
319 120 319 121
105 151 106 151
167  13 168  13
148  31 148  32
251  61 251  62
258 127 259 127
273  69 273  70
 49 150  50 150
222  90 223  90
295 132 295 133
335  17 336  17
257 118 257 119
100  23 101  23
 25 153  26 153
146  22 146  23
226 135 226 136
261   5 261   6
330  54 330  55
200  21 201  21
239 108 239 109
 98 100  99 100
 87   7  88   7
 44  24  45  24
 56  52  56  53
 39  92  40  92
 12 123  12 124
 38  64  39  64
197   2 198   2
114  92 114  93
 63  85  63  86
 70 140  71 140
278   3 278   4
289   0 289   1
118 128 118 129
284  73 284  74
179  78 180  78
 81 139  82 139
255  33 256  33
266  86 267  86
 70  63  70  64
 97  67  97  68
287   2 288   2
140  78 141  78
140  20 141  20
335   3 336   3
177 145 178 145
154   1 154   2
141 151 141 152
 29   3  29   4
158  27 159  27
326   4 326   5
273  38 274  38
 16  60  16  61
114  57 115  57
145  17 146  17
208  81 209  81
314  14 314  15
285  85 285  86
149  11 150  11
208 164 209 164
 59  75  60  75
281  22 282  22
308 109 309 109
152 128 152 129
301 106 301 107
250 146 251 146
100  55 100  56
127 101 127 102
 99  71  99  72
142 101 143 101
284  68 285  68
105  46 106  46
194   0 194   1
288  10 288  11
196 119 196 120
295 165 295 166
 99  94 100  94
232 124 232 125
233 109 234 109
174  10 175  10
174 155 175 155
247  64 248  64
 87  58  88  58
172 158 173 158
225  85 225  86
296  59 296  60
252 122 253 122
221  24 221  25
134 157 135 157
186  92 187  92
289 155 289 156
 36  27  37  27
290  14 291  14
167 104 167 105
 26  50  27  50
263 110 263 111
 79   7  80   7
281  12 282  12
334  31 334  32
 51 151  52 151
 37 150  38 150
205 117 205 118
168  35 168  36
271 158 271 159
 45 100  45 101
173  20 174  20
 38  25  38  26
 94 138  94 139
232  35 232  36
 87 136  88 136
 80  42  80  43
 99 159  99 160
129 163 129 164
253 121 254 121
230 109 230 110
205  66 206  66
186 103 186 104
333 134 334 134
204  18 204  19
112  17 112  18
303 122 304 122
172   8 173   8
108 138 109 138
213  76 214  76
 72  28  72  29
327  79 327  80
261   6 261   7
198  67 198  68
124 114 124 115
305  40 305  41
326   7 327   7
143  65 143  66
 75  96  76  96
232 106 233 106
117 125 118 125
302 110 302 111
 12   8  12   9
219 105 219 106
 14 101  15 101
 88 105  89 105
172  14 172  15
197  72 198  72
 53 138  53 139
279 140 280 140
 78 155  78 156
 56 106  57 106
 23  67  24  67
 54 143  54 144
 89  13  89  14
280  69 281  69
 79  90  79  91
167  92 168  92
144  23 144  24
188  21 189  21
178  78 178  79
335  86 336  86
193  34 193  35
285 159 285 160
171 159 171 160
266 137 267 137
222  74 223  74
 98  83  99  83
132   4 132   5
307 130 307 131
 56  22  57  22
264  11 265  11
 43 129  44 129
260 125 261 125
183  46 184  46
199 156 199 157
 50  10  50  11
 21  22  22  22
269  21 270  21
 18  68  19  68
222 155 222 156
217 132 217 133
 10   3  11   3
 32 124  32 125
182 160 183 160
271 127 271 128
331 169 332 169
 78 108  79 108
 13 158  13 159
117  86 118  86
197  14 197  15
334  12 335  12
337 164 337 165
 95  80  96  80
274 138 274 139
159 100 159 101
255 143 255 144
 71  27  72  27
127  58 127  59
 84 117  84 118
252 120 253 120
339   8 340   8
 50 146  50 147
195 150 196 150
116  28 117  28
243  73 244  73
220 103 220 104
 20  72  20  73
 29  29  30  29
278 157 279 157
296 162 297 162
308 138 308 139
 10 159  10 160
 43  28  44  28
257 135 258 135
 48  23  48  24
 75  80  76  80
131  47 132  47
269 128 270 128
157  74 157  75
291 155 291 156
 26 163  26 164
201 150 201 151
162   1 162   2
178   9 178  10
246 143 246 144
205  56 205  57
218   3 218   4
  8 155   8 156
328  90 328  91
199  23 199  24
205  92 205  93
175  22 176  22
 67  73  68  73
302  91 303  91
216 150 216 151
138 138 138 139
189  60 190  60
210 161 211 161
330  35 330  36
221 101 222 101
215 124 215 125
252  19 253  19
123 158 124 158
 95 133  96 133
270 163 271 163
 72 151  72 152
252  22 253  22
222  63 222  64
310 161 310 162
127  75 127  76
 98  75  98  76
106 144 107 144
120   6 120   7
 88 125  88 126
 85 103  85 104
301 153 302 153
264 146 265 146
159  44 159  45
 93 139  93 140
244  83 244  84
193 161 193 162
 51  25  51  26
187  65 187  66
 25  22  26  22
141  61 142  61
239  60 240  60
 73   5  74   5
 85 140  86 140
 90 109  91 109
174  95 174  96
174 150 175 150
300  98 300  99
228 135 229 135
233  53 234  53
303  88 303  89
 64  41  64  42
294 157 295 157
 75 164  76 164
  4 111   4 112
151  90 151  91
 99  92 100  92
213  98 214  98
 73 126  74 126
141 101 141 102
171  11 171  12
207 155 207 156
 76   6  76   7
145  66 146  66
 69  67  70  67
 48  65  49  65
335  42 336  42
 15  99  15 100
 22  97  23  97
272 156 273 156
185  25 185  26
278  37 278  38
 10 168  11 168
 55  36  56  36
179  41 180  41
200   4 200   5
314 137 315 137
279 165 280 165
 49 116  49 117
182   9 182  10
291 154 292 154
 92  84  92  85
337  27 338  27
207  47 208  47
 51 111  51 112
220 133 221 133
300 105 301 105
220  79 220  80
339  57 339  58
184  81 184  82
293 128 293 129
254 161 254 162
179 111 179 112
 56 162  57 162
208  96 208  97
266  82 266  83
336 103 337 103
138  78 139  78
156 149 156 150
 36  20  37  20
275  18 275  19
 68  67  69  67
135  55 136  55
148 141 148 142
291  37 291  38
101  15 102  15
122 129 123 129
 65  72  66  72
106  68 107  68
285  11 286  11
268  21 269  21
231 137 231 138
256 157 257 157
 32  67  32  68
218 140 219 140
213 168 214 168
301  91 302  91
185  77 186  77
328  51 329  51
166 156 167 156
310 103 311 103
 55  85  55  86
329  26 330  26
206  44 207  44
205  79 206  79
252 166 253 166
229 134 229 135
 53  82  53  83
107 171 108 171
259  69 260  69
145   3 145   4
134  73 134  74
173 126 173 127
266  28 267  28
167 167 168 167
237  42 237  43
 66 146  67 146
258   5 259   5
178  33 179  33
150  46 150  47
265  35 265  36
271 135 271 136
191  68 191  69
270 165 271 165
298 112 299 112
154 164 155 164
176 150 176 151
194  51 195  51
340 102 341 102
221 116 222 116
324   7 325   7
234  55 235  55
168 147 169 147
230  33 231  33
 50  87  50  88
185  11 185  12
 50  75  50  76
120 149 120 150
161  65 162  65
140  71 141  71
195 159 195 160
214  81 214  82
 36 117  36 118
340 157 341 157
151 127 151 128
 87  57  88  57
149  75 150  75
109 145 110 145
295 134 296 134
 99 100 100 100
177 118 178 118
119 159 119 160
342  37 343  37
338 147 338 148
 96  59  96  60
316  16 317  16
251 121 251 122
 73 147  73 148
137 165 137 166
218 134 218 135
 62 102  63 102
180 118 180 119
208  43 209  43
  8   1   9   1
299 164 299 165
258 108 259 108
295  80 295  81
 36  38  36  39
 61  38  62  38
 21  38  21  39
 42  34  42  35
329   7 329   8
 72   7  73   7
 80   5  81   5
 59  95  59  96
 84 149  84 150
106  73 107  73
296 146 297 146
289  51 290  51
 99  99 100  99
127 142 127 143
211 104 211 105
 11   4  11   5
 25  20  26  20
 82 112  82 113
  2  82   3  82
 63 145  63 146
155  57 155  58
142 100 142 101
 78 141  79 141
251 120 252 120
226 163 227 163
319  25 320  25
 99 151  99 152
335   0 335   1
247  71 248  71
260 158 260 159
127  74 127  75
213  25 213  26
203  12 204  12
196 132 197 132
319  12 320  12
 62 138  62 139
141 102 141 103
240  10 241  10
330  89 331  89
328 149 328 150
100 169 101 169
332  30 332  31
287  85 287  86
281  19 282  19
 63 115  64 115
269 102 270 102
338 163 338 164
 35  31  35  32
313 110 314 110
172  83 173  83
 35  51  36  51
276  18 277  18
 82 146  82 147
170 155 170 156
305  20 305  21
 12 162  12 163
217 142 218 142
181 114 182 114
280  53 281  53
148 117 148 118
122  25 122  26
328 113 329 113
128  22 129  22
 76  99  77  99
178 155 179 155
338 138 338 139
 55  86  55  87
304  17 304  18
 13  75  13  76
 33  63  33  64
256 141 256 142
 73  91  74  91
 28 146  28 147
 75  74  75  75
205  57 206  57
326   7 326   8
294  47 294  48
186  86 186  87
 52  58  52  59
 73 106  73 107
259 127 259 128
327  64 328  64
 83 115  84 115
340   9 340  10
292 101 293 101
 78 137  79 137
 71 109  72 109
  0  87   1  87
 26 122  27 122
120 152 120 153
325  92 325  93
104  64 105  64
 58 162  58 163
263  60 263  61
194  38 194  39
331 110 332 110
 98   7  98   8
141 128 142 128
 38  94  39  94
132 113 132 114
289 154 290 154
233 160 234 160
235  36 236  36
130 141 131 141
121  73 122  73
229  68 229  69
318 138 319 138
326 104 326 105
146 137 146 138
 21  68  21  69
318 161 319 161
 51  87  52  87
 40  32  41  32
238  61 238  62
246  73 246  74
154 153 154 154
 39  98  39  99
130 165 131 165
 80 103  81 103
334  77 334  78
 86  35  86  36
141  63 142  63
118 133 119 133
199 170 199 171
150 109 150 110
291 113 292 113
 84  14  84  15
 78 157  79 157
314  46 314  47
154  49 155  49
 15  61  15  62
 33  36  33  37
 70  10  70  11
 73 138  74 138
258  16 259  16
125 161 125 162
282  14 283  14
150 112 150 113
137  16 137  17
241  78 242  78
 43 132  44 132
114  99 115  99
175 113 176 113
214  34 214  35
 36 105  36 106
263  78 263  79
301  73 301  74
112  33 112  34
149  83 150  83
281  31 282  31
165 100 166 100
249  98 250  98
184 137 185 137
 76 132  77 132
301  16 302  16
 77  77  78  77
 35  74  35  75
317  92 318  92
 71 121  71 122
 52 159  52 160
145  63 145  64
 51  35  51  36
336   3 337   3
 37   6  37   7
301 111 301 112
112  74 112  75
109  41 110  41
 69  86  69  87
 66 141  67 141
 46 141  46 142
215  22 215  23
281  52 281  53
 35 126  35 127
160  99 161  99
203  22 203  23
263  38 264  38
218  89 218  90
 26  37  27  37
331  32 331  33
134  34 135  34
275  34 275  35
150  74 150  75
259 109 260 109
  0 106   1 106
340  54 341  54
311 101 311 102
338 127 338 128
188  87 189  87
157  99 158  99
181 112 181 113
  6  60   6  61
255  86 256  86
  4  40   4  41
194 167 194 168
104  97 105  97
235 125 236 125
214  14 214  15
 55 144  56 144
340  67 341  67
133 156 134 156
208   4 208   5
276  24 276  25
203  67 204  67
186  12 187  12
227 151 227 152
139  40 139  41
 21 122  21 123
151  45 151  46
144 163 144 164
 66 168  66 169
210 101 210 102
  6  55   7  55
305 110 306 110
 38   7  39   7
 53  38  53  39
165 161 165 162
256 158 257 158
287  46 287  47
332 117 332 118
  1  16   2  16
 35  32  36  32
 11 141  12 141
 42 137  42 138
256 156 257 156
291 161 291 162
340  78 341  78
264   5 264   6
 30  95  31  95
278 127 278 128
336  56 337  56
262  15 263  15
 18  23  18  24
 14   6  15   6
169  44 170  44
178  65 179  65
 50 113  51 113
212 100 213 100
126 162 127 162
170  79 170  80
108 113 109 113
341  52 342  52
339  88 339  89
305  12 306  12
249 121 249 122
115 167 116 167
287 108 288 108
  7  65   7  66
216  22 216  23
192  84 193  84
244 123 245 123
151  26 151  27
106  25 106  26
188   9 189   9
 70  70  71  70
246  39 246  40
271 110 272 110
219 143 220 143
 54  62  55  62
333  61 334  61
247  40 248  40
335  22 335  23
113 162 114 162
 28 125  28 126
214 161 214 162
306  41 306  42
300 107 301 107
269 157 269 158
173  54 174  54
169 130 170 130
