MAZE 112 224
 58 128  58 129
 96  57  96  58
105  80 106  80
 44  27  44  28
 56  27  57  27
 18 167  18 168
 74  78  75  78
 10 206  11 206
 29  20  30  20
 71 175  71 176
 99 167 100 167
 82 158  83 158
 81  58  82  58
106  38 106  39
 69  67  70  67
 82  57  83  57
 20  41  21  41
 55  54  56  54
 79  68  79  69
 72 135  73 135
 89 218  89 219
 83  54  83  55
 64 132  65 132
 83  97  83  98
 39  81  40  81
 19 134  19 135
 53 201  53 202
 17 149  18 149
109 129 110 129
 71 138  72 138
101  10 102  10
 34  60  35  60
 98 208  98 209
 20  82  21  82
 60 213  60 214
 31 119  32 119
110 179 110 180
 29   5  30   5
 25   3  26   3
 93 208  94 208
 33 203  33 204
 17 116  18 116
 15  63  16  63
 29  75  29  76
 98 195  99 195
 84 195  84 196
 77 208  78 208
 16 160  17 160
 13  81  14  81
  4 159   5 159
 95 146  95 147
 78  82  79  82
101  40 101  41
  7 117   7 118
  0 199   1 199
  7 148   8 148
  6  87   7  87
 20 149  20 150
 33 119  34 119
 25 172  26 172
 53  12  53  13
  1  35   1  36
 51 122  52 122
 67  18  68  18
 77  89  77  90
 81 215  81 216
 18  14  19  14
 46  89  47  89
 96  81  97  81
102  30 102  31
 72   0  72   1
 14  34  14  35
 51 136  51 137
 73 221  74 221
 29  58  29  59
 45  45  45  46
 84  60  84  61
 89 121  89 122
 46   6  47   6
 94  58  95  58
107  73 108  73
 53 175  54 175
 43   7  43   8
 57 197  58 197
 31 132  32 132
 82 217  83 217
 83  87  83  88
 67 150  68 150
 16 154  17 154
  6 161   6 162
 90  79  91  79
 39 223  40 223
 80  37  80  38
 71   4  71   5
 41 108  42 108
 26   2  27   2
 72  54  72  55
 90 219  91 219
 32 209  33 209
 12  70  12  71
 57  60  57  61
 25 201  25 202
 84 127  85 127
  0 115   0 116
 83  71  83  72
 44  47  45  47
 56 188  56 189
 90  51  90  52
 66 111  67 111
 63  32  64  32
 62 200  63 200
 96  19  97  19
 46 148  46 149
 13 133  13 134
 16  57  16  58
104 113 104 114
 34  32  35  32
 22 107  23 107
 55  64  55  65
 77 103  77 104
 73 219  73 220
 91  28  91  29
 35 125  36 125
 11 179  11 180
 90  88  91  88
 50  80  50  81
 55  78  55  79
 37  23  38  23
  3  96   4  96
103 182 103 183
 94 105  95 105
 32 202  33 202
 91  29  91  30
 49 141  49 142
 70 149  70 150
 34 117  35 117
 28  82  28  83
  8  32   8  33
 94 187  94 188
 89 177  90 177
  6  14   6  15
 13  47  13  48
 96  88  96  89
  2 157   2 158
 30  40  30  41
 31 146  31 147
 42 184  43 184
104 216 104 217
 83 187  84 187
 17 150  18 150
 86  96  87  96
 76 165  76 166
 45  73  46  73
 44 105  44 106
 58 101  59 101
 69 141  70 141
 18 168  18 169
107  86 107  87
  5 108   5 109
 47  25  48  25
 58  98  59  98
 28 190  28 191
 13 180  13 181
 84  12  85  12
 76 141  76 142
 49 153  49 154
  3  11   3  12
104 113 105 113
 73  86  74  86
 43  47  43  48
 59 101  60 101
  8 124   8 125
104 169 104 170
 73 219  74 219
 13  93  14  93
 32  19  33  19
 71   8  71   9
 72  29  73  29
107 108 107 109
  0 152   0 153
 24 196  25 196
 76 184  77 184
 88 186  89 186
 80   8  80   9
 72  90  73  90
 83 103  83 104
 75 161  76 161
 30 206  31 206
105 107 106 107
108  27 108  28
 34  91  35  91
104 163 105 163
 51 206  52 206
 74  23  75  23
 29 219  30 219
 16 222  17 222
107 162 107 163
 19 102  19 103
 20  24  21  24
 97  16  98  16
 20 134  21 134
 36 200  37 200
  8  54   8  55
 44 165  44 166
 45 103  45 104
  7  99   7 100
 87  22  87  23
 22  65  23  65
 93 128  93 129
 85  70  85  71
 37  16  38  16
 62 117  62 118
109 193 110 193
 46 186  47 186
 66 219  67 219
 93 131  93 132
 67  53  67  54
 44 176  44 177
 71 222  72 222
106  41 107  41
 16 179  16 180
  1 155   2 155
 47 189  47 190
 38 181  38 182
 20 152  21 152
103 110 104 110
 70  28  70  29
102 169 103 169
 42  94  42  95
100 223 101 223
 28 112  29 112
 89 107  90 107
 37 184  38 184
 71 127  72 127
 23  57  23  58
 49 196  50 196
 18 105  19 105
 44  89  45  89
 67  51  67  52
  3  38   4  38
 22 164  22 165
 50 134  51 134
103  53 104  53
 80 185  80 186
 74 115  74 116
 18 222  18 223
  6 126   7 126
 44 141  44 142
 82  72  82  73
104  73 105  73
 85  73  85  74
 43  76  43  77
 16  58  16  59
  7 156   7 157
 87 176  87 177
  2 135   3 135
 16 213  16 214
 75  38  76  38
 81  14  81  15
102  84 102  85
  7  53   8  53
 67 205  67 206
 54   7  54   8
 69  61  70  61
 66  31  67  31
 83 131  84 131
 69 187  69 188
108  35 108  36
 24  85  24  86
 13  16  14  16
 18 123  18 124
 31 189  31 190
 28  40  28  41
  3 158   4 158
 65 100  66 100
 66  92  66  93
107 204 107 205
 53 138  54 138
 97  25  98  25
 33 194  34 194
 18 126  19 126
 73 221  73 222
 31 129  32 129
 17 145  18 145
101  85 101  86
 88 114  88 115
 63 149  64 149
 11 219  11 220
 80 219  80 220
 31 209  31 210
 57 113  57 114
103  84 103  85
 17  32  17  33
 74  88  75  88
 51 197  51 198
 10 161  10 162
  1 217   2 217
 43 152  43 153
 33 145  33 146
 48 159  48 160
 29 208  29 209
 24  81  25  81
 42   3  42   4
 38  48  39  48
 56 134  57 134
 49 165  49 166
 34  45  34  46
 27 186  28 186
 23  68  24  68
 92  32  93  32
 96 219  97 219
 92  38  92  39
 97  72  97  73
 66 104  67 104
 18 171  18 172
 30 147  30 148
 77 133  78 133
109  50 110  50
 52  86  52  87
 24 219  25 219
 11 187  12 187
109 103 109 104
105 123 105 124
 74  74  75  74
 44 219  45 219
 25 138  25 139
 94 163  95 163
 54 152  55 152
 77 102  78 102
 50 123  51 123
 93 155  93 156
 91 101  92 101
 76  76  76  77
 51 137  51 138
 92   0  92   1
 17  98  18  98
 25 145  26 145
 16 138  17 138
 17  90  17  91
 22 151  22 152
 18 122  19 122
 86 124  86 125
 66 204  66 205
 81 203  82 203
 76 103  77 103
 53 121  53 122
 59 210  59 211
 14  59  14  60
 34 143  34 144
 74 221  75 221
 31 122  32 122
 95  18  96  18
 63 126  63 127
 72 152  72 153
 24  52  24  53
 13 208  13 209
 15 211  16 211
 71  17  71  18
102  17 103  17
 71 180  72 180
 90 184  90 185
 26 124  27 124
 94 201  95 201
 66 176  67 176
 49  75  49  76
 39 149  39 150
104 143 105 143
 28 138  29 138
 62   2  63   2
  5 145   6 145
 33 159  33 160
 81  50  82  50
  9 206  10 206
 76  96  77  96
 18  41  19  41
  0 190   0 191
 88 187  89 187
 36 151  37 151
  1 121   2 121
 35 184  35 185
 72  33  73  33
 31 195  32 195
102 151 102 152
 80 176  81 176
 39 106  40 106
  2   9   3   9
 51  78  52  78
  5 195   6 195
 77 166  77 167
 26 123  27 123
 86 174  87 174
 28 205  28 206
 51  12  52  12
 52 184  53 184
 91  79  91  80
 26  82  27  82
 36  91  36  92
 47  33  48  33
 36  30  36  31
 45  44  45  45
 65 149  65 150
 70 142  70 143
 15  78  15  79
 60 142  60 143
 59 117  60 117
 99 202 100 202
 16  36  16  37
 86 215  86 216
 19 208  20 208
 24 168  24 169
 80  35  81  35
 10   3  11   3
102  18 103  18
 63   3  64   3
 53 212  54 212
  7  72   8  72
 97 113  98 113
 81 136  81 137
 51 217  52 217
  0  94   1  94
 77 114  78 114
  6 220   7 220
 96 220  96 221
 76 162  77 162
 68 142  69 142
 99 194  99 195
 51 131  52 131
 45   2  45   3
 94   8  95   8
 59  82  60  82
 66 117  66 118
 27   8  28   8
 49  24  49  25
  8   1   8   2
 93  67  94  67
 78 110  78 111
 55 186  56 186
 12  33  13  33
 64  30  64  31
 14  79  14  80
 19 162  19 163
 46  60  47  60
 90 205  91 205
 19 191  19 192
 16  79  16  80
 48  97  48  98
 13 132  13 133
104  88 104  89
 66  16  66  17
 81  79  82  79
 70 178  71 178
 41 207  42 207
 88 113  88 114
 92 129  93 129
 95 122  96 122
 21 174  22 174
 63 205  64 205
 75 142  75 143
 43  81  44  81
 95  36  96  36
 86 153  87 153
 89 139  90 139
 57 125  57 126
 75 195  76 195
 32  70  32  71
 93  38  93  39
 90 143  90 144
 43 219  44 219
 39 184  39 185
 93  98  94  98
 85 200  86 200
  4 114   5 114
 44 148  45 148
 39 178  40 178
 28 191  28 192
 26 148  26 149
 65 127  65 128
 19 108  19 109
109 131 110 131
 86 209  86 210
 36  13  37  13
 18 146  19 146
108  22 108  23
 99 174 100 174
 60  14  61  14
101 117 101 118
 12 140  13 140
  9 209  10 209
 38  42  39  42
  0 103   1 103
 47 129  47 130
 47 165  48 165
 40 124  40 125
 39 207  39 208
 76 155  77 155
102  41 103  41
 22  19  22  20
 75 220  75 221
 30 131  31 131
 35  28  35  29
 15 136  15 137
 11 162  12 162
 36   2  36   3
 91  27  91  28
 95  90  96  90
