MAZE 128 256
 36 217  36 218
 93 231  94 231
  5 221   5 222
103 244 104 244
 45 220  46 220
 27  82  28  82
  5  30   5  31
  5 139   5 140
 20   4  20   5
 64  36  64  37
 44  90  44  91
 19 117  19 118
 72 232  72 233
 41 206  41 207
 73 143  73 144
 22  87  23  87
 34  19  35  19
 23 188  23 189
 12 208  12 209
 55  64  55  65
 87 166  87 167
118  38 118  39
 93 233  94 233
103 170 104 170
  3  53   4  53
 16 141  16 142
 83 153  84 153
 75  49  75  50
 42  38  43  38
 13  93  14  93
113  15 113  16
 10 188  11 188
 25  98  25  99
 65  17  66  17
 46  88  47  88
 51 188  52 188
 27  86  28  86
 28 137  28 138
119 114 120 114
 91 121  92 121
 93  73  94  73
 72 101  72 102
 63 161  63 162
 29 158  30 158
 78  98  78  99
 99   6  99   7
 89 248  90 248
 55  73  55  74
 49 252  49 253
 81  47  81  48
 45 148  46 148
 97  50  97  51
 57  29  57  30
 63 122  63 123
 86  23  86  24
 49 171  50 171
  7 170   7 171
  4 198   5 198
 64 246  65 246
 48  26  49  26
 17  78  18  78
 91  97  92  97
 31 241  31 242
127 114 127 115
 68   1  68   2
 38 154  38 155
 28  56  28  57
 69 197  70 197
 66 142  67 142
 35 155  35 156
 43 123  44 123
 77 199  77 200
104 241 104 242
124  31 125  31
104 228 104 229
 48 216  48 217
  1 113   2 113
 37  42  38  42
110 250 110 251
 93 110  93 111
 18  57  19  57
 46 195  46 196
 78 190  78 191
100  24 100  25
 44 190  44 191
 84 192  85 192
  5 151   5 152
 88 223  89 223
 71  19  72  19
 54 139  54 140
121  68 122  68
 90  29  90  30
 39  13  39  14
  0 132   0 133
 70 139  70 140
122  68 123  68
 32 227  33 227
 73 140  73 141
110 219 110 220
 21 182  21 183
107 202 108 202
  7 127   8 127
 13  69  13  70
 43 137  44 137
 95 159  95 160
 78 237  79 237
  9 216   9 217
 47 103  47 104
100 185 100 186
 29  64  29  65
112 123 112 124
 30 129  31 129
122 192 123 192
 59 127  60 127
  9 245   9 246
 13 108  14 108
 21 121  21 122
 83  65  83  66
 82 228  82 229
116 161 117 161
 15  87  16  87
  5 130   5 131
 65  43  65  44
 45 109  46 109
  2 167   3 167
 61  87  62  87
 13 205  14 205
  3 186   3 187
108  77 108  78
 42 175  43 175
 58  96  59  96
 48 131  49 131
 34  65  34  66
110  54 110  55
 44  98  44  99
 18 174  19 174
 89  30  90  30
  8  91   8  92
103 249 103 250
 46 219  47 219
 26  52  27  52
 28   0  29   0
 96   5  96   6
 94 211  94 212
 77  84  78  84
110 165 110 166
 23 172  23 173
  4  12   5  12
 93  49  93  50
 77 172  77 173
 91  46  92  46
 93 201  94 201
117 100 117 101
 52 156  52 157
 32  20  33  20
 89   8  89   9
 60 249  60 250
 23 166  24 166
 64 161  64 162
  1  50   2  50
 47 100  47 101
119 121 120 121
 42 186  42 187
 17 198  17 199
  2 111   2 112
 82 188  83 188
 25 115  25 116
122  36 122  37
  9  74  10  74
 20 139  21 139
125 191 126 191
 87  62  87  63
 89  70  89  71
 40  18  41  18
101  49 101  50
 11  54  12  54
123  30 124  30
 96 114  96 115
105   9 106   9
 20 174  20 175
 70  55  70  56
 78  71  78  72
105  98 106  98
 49 248  49 249
 31  96  32  96
123  98 123  99
 10 227  11 227
 43 150  44 150
 32 251  33 251
 26 198  26 199
 12 243  12 244
 86   5  87   5
 86 203  86 204
 13  43  13  44
 17  49  17  50
 18 173  18 174
 55 123  56 123
 18 140  18 141
 62  75  63  75
119 116 119 117
 55 146  56 146
  5 149   6 149
104 195 105 195
 26   6  26   7
 23  84  23  85
  4  65   4  66
102  34 102  35
 10  72  10  73
 52 166  53 166
103 106 103 107
 66 111  67 111
 45 202  45 203
 27 148  28 148
111 168 112 168
  1 239   2 239
 26 207  26 208
 18 226  19 226
 26  98  26  99
 15 105  15 106
  9 188   9 189
 76   0  76   1
 27 219  27 220
 11  29  11  30
 68  35  68  36
 41 242  42 242
 82 249  83 249
109 157 109 158
 38 132  38 133
 22 250  23 250
 51 124  51 125
125  14 126  14
 60 106  61 106
125 142 125 143
112 171 112 172
 43 200  44 200
 60 249  61 249
  1 183   1 184
126  51 126  52
 66 227  66 228
111 249 111 250
123 129 123 130
 31   9  31  10
 57 254  58 254
 82 187  82 188
 11 241  12 241
 66 135  67 135
122 248 123 248
 39 129  39 130
 28  39  29  39
 41 101  42 101
 89  48  90  48
126 103 127 103
108  27 109  27
  3 228   4 228
 20  93  21  93
 12  93  12  94
 23  46  24  46
 93 167  94 167
 23 181  24 181
116 194 116 195
  1 205   2 205
 59  19  60  19
 97 243  98 243
 46 194  47 194
  0  59   1  59
 86  52  87  52
 60 145  61 145
 34 181  34 182
 65 191  66 191
 17   3  18   3
 45  78  45  79
124  20 124  21
102 204 103 204
112  90 113  90
 30  40  31  40
 13 224  13 225
 40 104  40 105
 60  20  61  20
 20 138  21 138
 86 217  87 217
 21 183  21 184
 95 178  95 179
 62 125  62 126
 92 142  92 143
118  75 118  76
 48 231  49 231
 75  88  76  88
 57 139  57 140
104 193 105 193
110 239 111 239
102   9 103   9
 89  63  89  64
112  67 113  67
 58 210  58 211
 85 143  86 143
113  45 113  46
 40 167  40 168
111  11 112  11
 91  87  91  88
  8   6   9   6
 35 226  36 226
 18 156  19 156
 84 108  84 109
 31 195  32 195
 52  37  52  38
102  59 102  60
112 222 113 222
 71  52  71  53
117 117 118 117
  0 240   1 240
 16 197  17 197
 44  21  45  21
112 134 113 134
 92  48  92  49
 77 223  78 223
102  45 103  45
 84  53  85  53
114  76 114  77
 52   4  52   5
 24 215  25 215
121 245 122 245
 86 217  86 218
 24 142  25 142
 65 111  65 112
114 249 114 250
 95 205  96 205
  3  29   4  29
127  59 127  60
 36 227  37 227
 24 141  24 142
 95 166  95 167
 65   8  66   8
 83  71  84  71
 71 115  72 115
  1 234   1 235
126  90 126  91
 98 145  99 145
125 103 126 103
 28 235  29 235
