MAZE 104 208
 49 178  50 178
 72 169  73 169
102 106 102 107
 65 100  66 100
 46  26  46  27
 94 195  94 196
 50 120  50 121
 40  64  41  64
 18  75  18  76
 36 124  36 125
 57 109  57 110
 40 169  41 169
 71 138  72 138
 31  39  32  39
 97  23  98  23
  5 160   5 161
 43 192  44 192
 13  68  14  68
  6  82   7  82
 52 163  53 163
 42  63  42  64
 20 103  21 103
 62  25  63  25
 49 177  50 177
 16  89  17  89
 47 189  47 190
 43  48  43  49
 25  95  26  95
 15  35  15  36
 32 191  33 191
 90  32  90  33
 89 172  89 173
 85   7  86   7
 79 166  79 167
 90   5  90   6
 70 171  71 171
 87 163  87 164
 20 158  21 158
 82   4  82   5
 64   5  64   6
 68 178  69 178
100 169 101 169
 19  12  19  13
  9  41  10  41
 95  38  95  39
 73  73  73  74
 95 198  96 198
  9  28   9  29
 97 205  98 205
  0  18   1  18
 98  36  98  37
 69 142  70 142
 61  26  61  27
 15  92  16  92
  9 178  10 178
 88  46  88  47
 96 179  96 180
 12  36  13  36
 72  25  73  25
 84 172  84 173
 45  92  45  93
 31  11  31  12
 69 193  69 194
 35 166  36 166
 51 138  51 139
 22 100  23 100
 17 157  17 158
 47  71  48  71
 83  68  84  68
 53  74  53  75
 45 114  46 114
 89  92  89  93
 69 165  69 166
  2 173   3 173
 83  47  83  48
 32 141  32 142
 47 178  48 178
  2  91   3  91
 69  92  70  92
 86 123  87 123
 74 150  75 150
 14   8  14   9
 51  82  52  82
101  20 102  20
 88  84  89  84
 93 125  94 125
 48 182  49 182
  0 129   1 129
 52  82  53  82
 86 203  86 204
 19  16  20  16
 37  67  38  67
 88  22  89  22
 96  39  96  40
 75 162  76 162
 27 145  28 145
 44  80  44  81
 96 138  97 138
  8 169   8 170
 85 155  85 156
 60  98  61  98
 53  63  54  63
 12 205  13 205
 84  11  85  11
 12 133  12 134
 26  82  27  82
 64 103  64 104
 46  52  47  52
  5 148   5 149
 62 202  63 202
 22  54  23  54
 10 183  11 183
 12 139  13 139
103  39 103  40
 96 173  96 174
 95 131  96 131
 12  84  13  84
 86  98  87  98
 94  37  95  37
 55  82  55  83
 81 123  82 123
 96 174  97 174
 64 115  64 116
 81 167  82 167
 44 171  45 171
 72  11  73  11
 89  25  89  26
 57  63  58  63
 54 168  55 168
 44  59  45  59
 63 162  64 162
 92  61  93  61
 15  10  16  10
 69  66  70  66
  4  14   4  15
 37  40  38  40
 50 148  50 149
 63  69  64  69
  1  28   2  28
 94 158  94 159
 58 185  58 186
 97 128  97 129
 60 116  60 117
 79 153  80 153
 67 138  68 138
 89 178  89 179
 85 206  85 207
 43  19  44  19
  1  40   1  41
 42  19  42  20
 67  59  67  60
 34 188  35 188
 50  25  51  25
 35  93  35  94
 37  85  37  86
  2 161   3 161
 10  13  11  13
 94 101  94 102
 84 193  84 194
 69 145  69 146
 79  76  80  76
 34  28  34  29
 62  32  62  33
 90  92  91  92
 78 155  79 155
 89 189  89 190
 55 118  56 118
 98 179  98 180
  2  56   3  56
 66 138  66 139
 14 177  14 178
 95 105  95 106
  2 150   2 151
 71  12  72  12
 98  91  99  91
 72  77  72  78
 16 203  16 204
 68 175  69 175
 37 199  37 200
 28  88  28  89
 53 170  53 171
 43 182  43 183
 81 109  81 110
 33  78  33  79
 83  62  84  62
 38 161  39 161
 44  89  44  90
 89 137  90 137
 25  60  26  60
 17 163  17 164
 61 130  62 130
 15 136  15 137
 75  37  76  37
 30 198  30 199
  5  67   5  68
 41 168  42 168
 45 107  46 107
 39  53  40  53
 37 103  37 104
 34 126  34 127
 36 140  36 141
 50 119  50 120
 13 205  13 206
  6  83   6  84
 44 147  45 147
 41  46  41  47
 41 175  41 176
 66 181  67 181
 89 169  90 169
 65   0  65   1
 26  29  26  30
 89 198  90 198
 40  53  41  53
 49 125  50 125
 53   2  54   2
 81  13  81  14
 91 107  92 107
 57  58  57  59
102  36 103  36
 29  60  30  60
  3 169   4 169
 15  36  16  36
 48  36  48  37
 89  38  90  38
  7  34   8  34
 60  33  61  33
  6  35   6  36
 10 135  10 136
 11   3  11   4
 62 188  63 188
 26  15  27  15
 31   4  31   5
 50 165  51 165
 65 164  66 164
 20 163  20 164
102  12 102  13
 14  47  14  48
 74 169  75 169
 77  82  78  82
 89  36  89  37
 90  20  90  21
 18 119  18 120
 73 128  74 128
 73 138  74 138
 45  65  45  66
 32 206  33 206
 22 205  22 206
 60  62  60  63
 87 149  88 149
 13  32  14  32
 52  39  52  40
102 124 103 124
 37  79  38  79
 79 126  80 126
 17  99  18  99
 46  30  46  31
 64 114  65 114
 86   7  87   7
  1 159   1 160
 54  93  54  94
 47  54  48  54
 16  86  16  87
 89  39  90  39
 12 175  13 175
 80  62  81  62
 28 183  29 183
 72  65  72  66
 53 182  53 183
 42 206  43 206
  2 158   3 158
 46 102  47 102
 52  32  52  33
 45   2  46   2
  5 182   5 183
 59  13  59  14
  8  61   8  62
 85  75  85  76
 73  29  74  29
 75 161  76 161
 61 143  61 144
 30  93  31  93
 13  57  13  58
101  10 102  10
 49  64  49  65
 39  38  40  38
 83  31  84  31
 92  46  92  47
 15   4  15   5
 73  56  73  57
  3  51   4  51
102  86 103  86
 38  64  38  65
 37  97  37  98
  2 149   2 150
 43  80  43  81
 55  23  55  24
  5 142   5 143
 50  65  51  65
100 110 101 110
 56  23  57  23
 34  67  35  67
 70 164  70 165
 43  42  44  42
 82  18  82  19
 83  30  83  31
 15  16  15  17
 31  41  32  41
 10 158  11 158
 21  39  21  40
 69  11  70  11
 79   2  80   2
100 183 101 183
 73 158  73 159
 94 133  95 133
 35  82  35  83
 10  91  11  91
 66 102  66 103
 68  55  68  56
 58  54  59  54
 98 164  98 165
 62   2  62   3
 21  82  21  83
  9 153   9 154
 46 177  47 177
 44 166  44 167
 99 171  99 172
 59  40  59  41
 42  56  43  56
  2  51   3  51
 73 101  73 102
 95   0  95   1
 96 182  97 182
 49 106  49 107
 64 178  65 178
  0  92   1  92
 57  76  58  76
 76 181  77 181
  9 181   9 182
 48 173  49 173
 75 199  75 200
 82 111  83 111
101  86 102  86
 93 182  93 183
 64 181  64 182
 46  80  47  80
 95 200  96 200
 15 196  16 196
 66 117  67 117
 61  98  61  99
 59  52  59  53
 14 126  14 127
 60  40  60  41
 31  49  32  49
 87 152  88 152
 24  59  24  60
 94  66  94  67
 64  68  64  69
 76 144  77 144
  6 176   6 177
 45  75  46  75
  1   7   1   8
  6 117   6 118
  0  93   1  93
 33  40  33  41
 14 164  14 165
 26 131  27 131
 95  74  95  75
  3  49   3  50
 16 100  17 100
 55 184  56 184
 51 190  51 191
102 108 102 109
 26  34  26  35
  2  52   2  53
 20 117  21 117
 80  52  80  53
 67 116  68 116
 75  28  75  29
 94 122  94 123
 68 102  68 103
 39 179  39 180
 20 159  20 160
 40 176  40 177
 52  15  53  15
 26 158  26 159
 83  81  83  82
 78 124  78 125
 68 206  68 207
 61 172  61 173
 46  63  47  63
