MAZE 104 52
 99  42 100  42
 75  33  76  33
 14  19  15  19
 55  21  56  21
 78  33  78  34
 31  35  32  35
 43  37  44  37
 41  33  42  33
 13  15  14  15
 14  31  14  32
 84  48  85  48
 15  36  15  37
 84  23  84  24
101  49 101  50
 57  17  57  18
 16  24  16  25
 47  27  47  28
 23   8  24   8
 62  25  63  25
 33   8  34   8
 64  22  65  22
 97  47  97  48
 28   0  28   1
 69  38  70  38
 62  12  62  13
  4  45   5  45
  6   8   6   9
 93  18  93  19
 78  46  79  46
 56  36  57  36
 21  33  22  33
 95  47  95  48
 41  41  42  41
 12  32  13  32
  4  45   4  46
  0  19   1  19
 23  26  23  27
 11  33  12  33
 58  36  58  37
 56  11  56  12
 13  32  14  32
 94  50  94  51
 54  45  54  46
 40  18  41  18
 43  16  44  16
 38   7  39   7
 13  33  14  33
 28  14  28  15
 62  42  63  42
  5  35   6  35
 69   3  69   4
 55  12  56  12
 32  28  33  28
 16  39  17  39
 98  27  98  28
103  15 103  16
 76  39  77  39
 91  40  91  41
  5  10   6  10
 63  13  63  14
 71   0  71   1
 15  14  16  14
 75   5  75   6
 87  17  87  18
 76  35  76  36
 62  36  62  37
 99  48 100  48
 45  34  46  34
 68  12  68  13
 91  51  92  51
 29  45  29  46
 41   6  41   7
 30  29  30  30
 96  46  96  47
 12  50  13  50
 55   8  56   8
 29  41  30  41
 89  42  89  43
 84  19  84  20
 98  12  98  13
 43  43  43  44
 13  49  13  50
 95  14  96  14
 49  40  50  40
 31  16  31  17
 10  29  11  29
 57   6  57   7
 13  31  13  32
 59  35  59  36
 14  14  15  14
 68  44  69  44
 85  31  85  32
  5  25   6  25
 55   5  55   6
 99  39 100  39
  6  38   7  38
 40  32  41  32
 14  15  15  15
 13  49  14  49
 45   9  45  10
 33  40  33  41
 67  25  68  25
 61  18  62  18
 31   4  32   4
 87   6  88   6
 34  24  35  24
100  43 101  43
  1  42   2  42
 34   6  35   6
 53  26  53  27
 46  40  47  40
 72  13  72  14
 93  48  94  48
 25  26  26  26
 48  46  48  47
  7  35   7  36
 67   2  68   2
 90  44  90  45
 20  19  21  19
 90  51  91  51
 17   8  18   8
 76   8  77   8
 56  31  57  31
 98  41  98  42
 89   5  89   6
 97  11  98  11
 39  48  40  48
 30  45  31  45
 77   2  78   2
 59  45  60  45
101  40 101  41
 57  36  57  37
 92  49  93  49
 88  40  88  41
 81  13  81  14
 54  30  55  30
  2  49   2  50
 29   4  30   4
 59   5  59   6
 46  45  47  45
 46  15  47  15
 70   1  70   2
 59  37  60  37
100  42 101  42
 83   3  84   3
  3  48   3  49
  2  16   3  16
 97  34  98  34
  4  32   5  32
 89  10  90  10
 51  16  51  17
 31   3  31   4
 34  20  35  20
 82  24  82  25
 38  47  38  48
 64  13  64  14
 92  36  92  37
 85   5  86   5
 70   7  70   8
 79   2  80   2
 64  25  64  26
 84   1  85   1
 74  27  75  27
 70  48  70  49
 93  20  93  21
 24  35  24  36
 63  16  63  17
 54  19  54  20
 40  49  40  50
 77  24  77  25
 13  24  14  24
 79  47  79  48
 32   7  32   8
 80  40  81  40
 98  31  99  31
102   2 102   3
 55  29  56  29
 57  12  58  12
103  21 103  22
  7  37   8  37
 92  12  92  13
103  28 103  29
 85  20  86  20
 80  15  81  15
 22  23  23  23
100   7 100   8
 30  37  30  38
 32  30  32  31
 65   2  65   3
  2  17   2  18
 12  27  13  27
 28  25  29  25
 83  45  83  46
  8   6   9   6
 44  22  44  23
 55  39  56  39
 42  14  43  14
 23  24  24  24
 70  14  71  14
 72  43  72  44
  5  48   6  48
 94  29  94  30
 53   9  54   9
 61  14  61  15
 72  35  73  35
 27   4  27   5
 55  34  55  35
 73  41  74  41
 35  33  36  33
 66  22  66  23
 73  14  74  14
 26   3  27   3
 20  18  20  19
 89   5  90   5
 26  33  26  34
 25  36  25  37
 29  48  30  48
 20  21  20  22
 78  23  79  23
 28  13  28  14
 62  26  62  27
 80  36  80  37
 72   1  72   2
 15   5  16   5
 74  30  75  30
 89  16  89  17
 64   2  64   3
 14  10  15  10
 78  49  78  50
 81  47  82  47
 92   7  93   7
 76  22  76  23
 74  43  75  43
  8  24   9  24
 95   4  96   4
  8  23   9  23
100  26 100  27
 91  18  91  19
 33   7  33   8
  3  20   3  21
 61  14  62  14
 54  29  55  29
 24  26  25  26
 85  46  85  47
 56  18  57  18
  9  44   9  45
 73  19  74  19
 92  10  93  10
 55  44  55  45
 44  13  44  14
 96  29  96  30
 33  26  33  27
 23  38  24  38
 91  10  91  11
 93  16  94  16
 69  35  70  35
 70   9  71   9
 15  24  15  25
 85   1  85   2
  8  37   9  37
 43  19  44  19
 52   3  53   3
 39  38  40  38
 58  32  58  33
 37  36  37  37
 40  47  41  47
 16  10  16  11
 77  51  78  51
  0   7   0   8
101  26 102  26
 79  50  79  51
 78  44  79  44
 88   7  88   8
 78  36  79  36
  9  23  10  23
 63   3  64   3
 47  38  47  39
 35  39  35  40
 61  25  62  25
 80  37  81  37
 46  44  47  44
 22  28  23  28
 99  28  99  29
 49   6  49   7
 70  38  70  39
 94  14  95  14
 48  16  49  16
 97  40  97  41
101  42 102  42
  2  14   2  15
 88   3  88   4
  2  21   3  21
 97   5  98   5
 46  44  46  45
 91  16  91  17
 24  23  25  23
 93  20  94  20
 56  32  56  33
 81   6  82   6
 67  22  67  23
 86  22  87  22
 68  26  68  27
 19  26  20  26
 41   7  41   8
 53  11  53  12
 80   4  81   4
 90  27  91  27
 81  35  82  35
 77   5  78   5
100  25 101  25
 62  15  62  16
 48  45  48  46
 77  45  78  45
 38  17  38  18
 78  10  78  11
100  48 100  49
  6  11   6  12
 15  25  16  25
 88  23  89  23
 92  19  93  19
 85   9  85  10
 18  28  18  29
 39   5  39   6
 61   2  62   2
 79  41  80  41
 94  43  95  43
 88  16  88  17
 89  24  89  25
 99   5  99   6
 64  28  64  29
 79   1  80   1
 81  46  81  47
 27   4  28   4
 11   4  12   4
 84  37  84  38
 80  24  81  24
 45  21  46  21
 26  14  27  14
 62  47  63  47
 28  10  29  10
 85   1  86   1
 53  31  53  32
 38  31  38  32
 86  29  87  29
 31   0  32   0
 46  43  46  44
 76   6  77   6
 41  47  42  47
 79  32  80  32
 41  13  42  13
 29  37  29  38
 63  21  63  22
 19  36  19  37
  4  10   4  11
 62  11  63  11
 57  15  58  15
 52  14  52  15
 37  30  37  31
 71  32  72  32
 79  38  80  38
 82  31  82  32
 83  13  83  14
 40  23  40  24
 28  24  29  24
  4  34   4  35
 58  25  59  25
 76  30  77  30
 96  39  96  40
 27  14  28  14
 45  26  45  27
 87  25  87  26
  1  39   2  39
 54  15  55  15
 77   9  77  10
 56  21  56  22
 13   8  13   9
 56  33  56  34
 32  33  32  34
 74  34  74  35
