MAZE 408 204
400  38 400  39
389 169 389 170
114 104 114 105
 41 160  41 161
306  32 306  33
 63 111  63 112
285 109 285 110
109 164 110 164
 18  41  18  42
161  49 162  49
 62  88  62  89
 99 138  99 139
 44 111  45 111
169  75 170  75
404  29 404  30
105 185 105 186
252 182 253 182
187 117 187 118
238 193 239 193
153 140 154 140
296  44 297  44
197  78 198  78
305 132 305 133
187  71 188  71
255 190 255 191
372  38 373  38
352  66 352  67
194  69 195  69
267 144 268 144
105 159 106 159
120  17 121  17
358 168 359 168
250 129 250 130
219   5 219   6
 77 122  77 123
 30  10  31  10
 28 166  29 166
258 173 258 174
280 197 280 198
319 200 319 201
360  90 361  90
353 187 354 187
352  33 353  33
 23 179  24 179
346  73 346  74
217  95 218  95
336 181 336 182
336   7 336   8
179 167 180 167
281  42 282  42
398   6 398   7
253  39 253  40
402  15 403  15
393 110 394 110
221 148 221 149
172   6 172   7
399   3 399   4
 83 165  84 165
229 170 230 170
286 110 286 111
  7 166   8 166
 63 200  64 200
230  70 231  70
174 141 175 141
307 113 307 114
221 165 221 166
219  67 220  67
232   2 232   3
  2  53   3  53
159 142 159 143
 38 152  38 153
228  33 228  34
262  74 262  75
317 153 318 153
361  89 362  89
221 125 221 126
141 202 141 203
 44  14  45  14
228  67 229  67
404  78 405  78
162  66 163  66
276   5 276   6
280  87 280  88
190 164 191 164
278 199 278 200
 84  44  84  45
362  96 363  96
319 181 319 182
 40 170  40 171
273 193 274 193
190  83 191  83
157  39 158  39
227  43 227  44
 39 125  39 126
229 103 229 104
286 186 286 187
280  84 280  85
145  35 145  36
223 140 223 141
107  25 108  25
384  61 384  62
227 159 227 160
389 126 390 126
275  85 275  86
 94  40  95  40
 79 136  80 136
187 119 188 119
139  32 140  32
233 197 233 198
 43  17  44  17
382  44 382  45
333 127 333 128
254  64 255  64
132 191 132 192
198 102 199 102
109 139 109 140
 49 126  50 126
215 171 215 172
300 176 301 176
161   1 161   2
294  69 294  70
 67 195  68 195
235  15 236  15
 49  50  49  51
378 188 378 189
161   2 161   3
 31  43  32  43
110  68 110  69
277  17 277  18
112  91 113  91
153  56 153  57
141  50 142  50
379 121 379 122
177 139 178 139
180  58 181  58
  6  99   6 100
272  19 273  19
150 163 150 164
269  22 270  22
229  93 230  93
 24 173  25 173
133 146 134 146
400 128 401 128
399  72 400  72
157 143 158 143
 68 122  69 122
144 144 144 145
369 179 369 180
173 141 174 141
 88 105  89 105
  2 180   3 180
158  14 159  14
404 171 405 171
 81  45  81  46
 52 202  53 202
388  48 389  48
 35 161  36 161
389 135 390 135
186 185 186 186
353  23 353  24
319  85 320  85
 62 153  63 153
239 160 240 160
339 120 339 121
228 144 229 144
 30 198  30 199
404 169 404 170
355  96 355  97
361  90 361  91
335 173 335 174
273  17 273  18
 68 191  69 191
343 145 344 145
219 129 219 130
142  82 142  83
109 184 109 185
 40 119  40 120
313  14 313  15
183 166 184 166
116  85 116  86
279 105 280 105
352 118 353 118
 37 151  38 151
300 102 300 103
269 153 270 153
343  64 344  64
161  46 162  46
345 110 346 110
219  61 219  62
172  73 172  74
295 114 295 115
314  15 314  16
136  17 137  17
  8 166   9 166
109 144 109 145
268 152 268 153
227 148 227 149
387  32 388  32
246  19 247  19
276 144 277 144
249 111 249 112
151 175 152 175
184 103 184 104
 41  67  41  68
377 173 378 173
183 151 184 151
337  41 337  42
 40  28  41  28
 34 105  35 105
111 184 112 184
  5  11   6  11
284 186 285 186
327 140 328 140
335 101 335 102
267 196 268 196
359   0 359   1
278  12 278  13
 85  52  85  53
116 175 117 175
118 179 118 180
283   5 284   5
127  52 127  53
 45 122  45 123
108 113 108 114
191  88 191  89
 16 169  16 170
334  68 335  68
101  34 101  35
377   6 377   7
331  71 331  72
242 105 243 105
388 102 388 103
193 172 194 172
 81 153  82 153
219 152 219 153
205 196 206 196
 10  80  10  81
277 141 277 142
365 134 365 135
149  18 149  19
165 175 165 176
 57  35  58  35
164  52 165  52
 39  46  40  46
310 198 310 199
 54 129  55 129
144  67 144  68
 14  55  14  56
145  39 146  39
291  61 292  61
 52  18  52  19
148 198 148 199
335 189 335 190
266   4 267   4
104  63 105  63
 99  40 100  40
109 186 109 187
123 158 124 158
394  61 394  62
331  22 332  22
  4 126   5 126
118  96 119  96
  9  99   9 100
289 161 290 161
 65 135  65 136
396 149 397 149
221 197 222 197
 57  19  57  20
398 202 398 203
259  71 259  72
 92 165  93 165
197 147 197 148
157 143 157 144
250   2 250   3
385 114 385 115
165 138 165 139
291  56 291  57
192 112 192 113
180 122 180 123
 69  41  70  41
 36  70  37  70
217  42 217  43
370 132 371 132
 39  35  39  36
 87  68  87  69
389  71 389  72
356 179 357 179
 14 112  15 112
 97  66  97  67
304 146 305 146
186  54 187  54
 54   2  54   3
331   2 331   3
 79 148  80 148
208 197 208 198
241  28 241  29
 91 145  91 146
320 114 321 114
161  92 162  92
384  87 385  87
340 201 340 202
223 112 223 113
388 125 389 125
256 163 257 163
 59 152  60 152
285 100 285 101
 69 169  69 170
 65  45  65  46
209  44 209  45
353 135 353 136
228  29 228  30
138  64 138  65
307 175 307 176
398  23 398  24
 94 144  94 145
196 182 197 182
300 159 301 159
 32  38  32  39
208  66 209  66
256 180 257 180
311 167 311 168
406   6 406   7
215  19 216  19
265  45 266  45
208 196 208 197
171 114 171 115
120 150 121 150
166 176 166 177
  1  25   2  25
158  45 159  45
393  35 393  36
230  14 230  15
203  20 204  20
308  13 308  14
 60 177  60 178
395  30 395  31
274  97 275  97
 69  47  69  48
157 194 157 195
368  41 369  41
361  82 361  83
163   2 164   2
370 165 370 166
 38  55  38  56
149  96 149  97
177 130 178 130
233  29 234  29
 78  93  79  93
279 166 279 167
 85   3  85   4
210 116 210 117
257  65 257  66
351  60 351  61
 70 100  70 101
 57  24  58  24
 18  75  19  75
209  28 209  29
 68 177  68 178
315 148 316 148
142  27 143  27
